actor,occurrence_count,rank,first_appearance,unique_dates
50501 movement,837,1,2025-02,"['2025-02', '2025-04']"
nurses,821,2,2017-03,"['2017-03', '2017-04', '2017-10', '2018-05', '2018-08', '2018-09', '2019-05', '2019-07', '2020-02', '2020-03', '2020-04', '2020-05', '2020-06', '2020-07', '2020-08', '2020-09', '2020-11', '2021-01', '2021-02', '2021-03', '2021-04', '2021-05', '2021-06', '2021-07', '2021-08', '2021-09', '2021-10', '2021-11', '2021-12', '2022-01', '2022-02', '2022-03', '2022-04', '2022-05', '2022-06', '2022-07', '2022-08', '2022-09', '2022-10', '2022-11', '2022-12', '2023-01', '2023-02', '2023-03', '2023-04', '2023-05', '2023-06', '2023-07', '2023-08', '2023-09', '2023-10', '2023-11', '2023-12', '2024-01', '2024-02', '2024-03', '2024-04', '2024-05', '2024-06', '2024-07', '2024-08', '2024-09', '2024-10', '2024-11', '2024-12', '2025-01', '2025-02', '2025-03', '2025-04']"
united food and commercial workers local 7,771,3,2022-01,['2022-01']
elected officials,747,4,2020-10,"['2020-10', '2021-02', '2021-03', '2021-04', '2021-05', '2021-06', '2021-07', '2021-08', '2021-09', '2021-10', '2021-11', '2021-12', '2022-01', '2022-02', '2022-03', '2022-04', '2022-05', '2022-06', '2022-07', '2022-08', '2022-09', '2022-10', '2022-11', '2022-12', '2023-01', '2023-02', '2023-03', '2023-04', '2023-05', '2023-06', '2023-07', '2023-08', '2023-09', '2023-10', '2023-11', '2023-12', '2024-01', '2024-02', '2024-03', '2024-04', '2024-05', '2024-06', '2024-07', '2024-08', '2024-09', '2024-10', '2024-11', '2024-12', '2025-01', '2025-02', '2025-03', '2025-04']"
teamsters local 553,714,5,2021-04,"['2021-04', '2021-05', '2021-06', '2021-07', '2021-08', '2021-09', '2021-10', '2021-11', '2021-12', '2022-01', '2022-02', '2022-03', '2022-04', '2022-05', '2022-06', '2022-07', '2022-08', '2022-09', '2022-10', '2022-11', '2022-12', '2023-01', '2023-02', '2023-03']"
students,472,6,2017-12,"['2017-12', '2018-04', '2018-05', '2019-04', '2019-12', '2020-08', '2021-02', '2021-03', '2021-04', '2021-05', '2021-06', '2021-07', '2021-08', '2021-09', '2021-10', '2021-11', '2021-12', '2022-01', '2022-02', '2022-03', '2022-04', '2022-05', '2022-06', '2022-07', '2022-08', '2022-09', '2022-10', '2022-11', '2022-12', '2023-01', '2023-02', '2023-03', '2023-04', '2023-05', '2023-06', '2023-07', '2023-08', '2023-09', '2023-10', '2023-11', '2023-12', '2024-01', '2024-02', '2024-03', '2024-04', '2024-05', '2024-06', '2024-08', '2024-09', '2024-10', '2024-11', '2024-12', '2025-01', '2025-02', '2025-03', '2025-04']"
iuoe stationary engineers local 39,465,7,2021-09,"['2021-09', '2021-10', '2021-11', '2021-12']"
healthcare workers,363,8,2017-06,"['2017-06', '2020-04', '2020-05', '2020-07', '2020-09', '2021-03', '2021-04', '2021-05', '2021-07', '2021-08', '2021-09', '2021-10', '2021-11', '2021-12', '2022-01', '2022-02', '2022-03', '2022-04', '2022-06', '2022-09', '2022-10', '2022-11', '2022-12', '2023-01', '2023-02', '2023-03', '2023-04', '2023-05', '2023-06', '2023-07', '2023-08', '2023-09', '2023-10', '2023-11', '2023-12', '2024-01', '2024-02', '2024-03', '2024-04', '2024-05', '2024-06', '2024-08', '2024-09', '2024-10', '2024-11', '2024-12', '2025-01', '2025-02', '2025-03', '2025-04']"
national nurses united,320,9,2017-11,"['2017-11', '2018-01', '2019-07', '2020-03', '2020-04', '2020-05', '2020-07', '2020-08', '2020-10', '2020-11', '2020-12', '2021-01', '2021-02', '2021-04', '2021-06', '2021-07', '2021-09', '2022-01', '2022-03', '2022-04', '2022-06', '2022-08', '2022-09', '2022-12', '2023-01', '2023-06', '2023-07', '2023-09', '2023-10', '2023-11', '2023-12', '2024-01', '2024-03', '2024-04', '2024-05', '2024-06', '2024-10', '2025-01', '2025-03']"
massachusetts nurses association,319,10,2017-06,"['2017-06', '2020-12', '2021-01', '2021-02', '2021-03', '2021-04', '2021-05', '2021-06', '2021-07', '2021-08', '2021-09', '2021-10', '2021-11', '2021-12', '2022-01', '2022-02', '2022-03', '2022-04', '2022-05', '2022-06', '2024-04', '2024-10']"
drivers,281,11,2022-06,"['2022-06', '2022-07', '2022-08', '2022-09', '2022-10', '2022-11', '2022-12', '2023-01', '2023-02']"
worldwide rally for freedom,264,12,2021-10,"['2021-10', '2021-11', '2021-12', '2022-01', '2022-02', '2022-03', '2022-04', '2022-05', '2022-06', '2022-07', '2022-08', '2022-09', '2022-10', '2022-11', '2022-12', '2023-01', '2023-02', '2023-03', '2023-04', '2023-05', '2023-06', '2023-07', '2023-08', '2023-09', '2023-10', '2023-11', '2023-12', '2024-01', '2024-02', '2024-03', '2024-04', '2024-05', '2024-06', '2024-07', '2024-08', '2024-09', '2024-10', '2024-11', '2024-12']"
women's march,244,13,2017-07,"['2017-07', '2020-11', '2021-10', '2022-05', '2022-06', '2022-07', '2022-10', '2023-01', '2023-02', '2023-04', '2023-06', '2024-01', '2024-03', '2024-06', '2024-11', '2025-01', '2025-03', '2025-04']"
teamsters local 251,241,14,2022-06,"['2022-06', '2022-07', '2022-08', '2022-09', '2022-10', '2022-11', '2022-12', '2023-01', '2023-02']"
community members,216,15,2017-02,"['2017-02', '2017-06', '2017-07', '2020-09', '2021-04', '2021-06', '2021-07', '2021-08', '2021-09', '2021-10', '2021-11', '2021-12', '2022-01', '2022-02', '2022-03', '2022-05', '2022-06', '2022-07', '2022-08', '2022-10', '2022-11', '2022-12', '2023-01', '2023-02', '2023-03', '2023-04', '2023-05', '2023-06', '2023-07', '2023-08', '2023-09', '2023-10', '2023-11', '2023-12', '2024-01', '2024-02', '2024-03', '2024-04', '2024-05', '2024-06', '2024-07', '2024-08', '2024-09', '2024-10', '2024-11', '2024-12', '2025-01', '2025-02', '2025-03', '2025-04']"
workers,214,16,2021-03,"['2021-03', '2021-05', '2021-06', '2021-08', '2021-09', '2021-10', '2021-11', '2021-12', '2022-01', '2022-02', '2022-05', '2022-07', '2022-08', '2022-09', '2022-10', '2022-11', '2022-12', '2023-01', '2023-02', '2023-04', '2023-05', '2023-06', '2023-08', '2023-09', '2023-10', '2023-11', '2024-01', '2024-03', '2024-05', '2024-06', '2024-08', '2024-09', '2024-10', '2024-11', '2025-01']"
cwa,191,17,2022-05,"['2022-05', '2022-07', '2022-09', '2022-10', '2022-11', '2022-12', '2023-01', '2023-02', '2023-03', '2023-07', '2024-03']"
