Categoría: Todas las categorías

Mes,criminal justice: (Connecticut)
2015-01,79
2015-02,84
2015-03,92
2015-04,84
2015-05,87
2015-06,75
2015-07,58
2015-08,69
2015-09,85
2015-10,100
2015-11,70
2015-12,74
2016-01,76
2016-02,74
2016-03,81
2016-04,86
2016-05,64
2016-06,59
2016-07,62
2016-08,65
2016-09,88
2016-10,79
2016-11,75
2016-12,71
2017-01,71
2017-02,67
2017-03,77
2017-04,69
2017-05,69
2017-06,59
2017-07,42
2017-08,54
2017-09,81
2017-10,88
2017-11,71
2017-12,69
2018-01,78
2018-02,66
2018-03,73
2018-04,87
2018-05,65
2018-06,59
2018-07,58
2018-08,65
2018-09,85
2018-10,80
2018-11,64
2018-12,70
2019-01,73
2019-02,71
2019-03,72
2019-04,78
2019-05,61
2019-06,49
2019-07,56
2019-08,62
2019-09,83
2019-10,93
2019-11,75
2019-12,58
2020-01,77
2020-02,88
2020-03,58
2020-04,68
2020-05,68
2020-06,70
2020-07,57
2020-08,67
2020-09,79
2020-10,82
2020-11,64
2020-12,62
2021-01,67
2021-02,74
2021-03,65
2021-04,60
2021-05,59
2021-06,39
2021-07,42
2021-08,48
2021-09,86
2021-10,60
2021-11,56
2021-12,55
2022-01,70
2022-02,87
2022-03,71
2022-04,67
2022-05,67
2022-06,44
2022-07,54
2022-08,52
2022-09,78
2022-10,76
2022-11,61
2022-12,65
2023-01,78
2023-02,72
2023-03,61
2023-04,60
2023-05,60
2023-06,50
2023-07,50
2023-08,56
2023-09,82
2023-10,73
2023-11,68
2023-12,55
2024-01,67
2024-02,68
2024-03,63
2024-04,64
2024-05,64
2024-06,48
2024-07,43
2024-08,56
2024-09,74
2024-10,79
2024-11,69
2024-12,65
2025-01,74
2025-02,68
2025-03,68
2025-04,77
2025-05,67
