Category: All categories

Month,criminal justice: (Vermont)
2015-01,77
2015-02,0
2015-03,47
2015-04,50
2015-05,72
2015-06,56
2015-07,0
2015-08,68
2015-09,100
2015-10,88
2015-11,83
2015-12,60
2016-01,71
2016-02,49
2016-03,81
2016-04,47
2016-05,50
2016-06,61
2016-07,56
2016-08,59
2016-09,64
2016-10,72
2016-11,70
2016-12,61
2017-01,50
2017-02,64
2017-03,54
2017-04,97
2017-05,39
2017-06,57
2017-07,41
2017-08,46
2017-09,62
2017-10,59
2017-11,85
2017-12,68
2018-01,64
2018-02,47
2018-03,65
2018-04,70
2018-05,36
2018-06,49
2018-07,46
2018-08,54
2018-09,87
2018-10,77
2018-11,47
2018-12,82
2019-01,73
2019-02,59
2019-03,78
2019-04,72
2019-05,50
2019-06,0
2019-07,35
2019-08,58
2019-09,64
2019-10,32
2019-11,70
2019-12,49
2020-01,57
2020-02,57
2020-03,52
2020-04,33
2020-05,26
2020-06,57
2020-07,36
2020-08,42
2020-09,70
2020-10,73
2020-11,54
2020-12,55
2021-01,47
2021-02,57
2021-03,42
2021-04,61
2021-05,0
2021-06,0
2021-07,49
2021-08,50
2021-09,88
2021-10,60
2021-11,66
2021-12,40
2022-01,71
2022-02,57
2022-03,46
2022-04,77
2022-05,73
2022-06,46
2022-07,0
2022-08,46
2022-09,59
2022-10,41
2022-11,53
2022-12,47
2023-01,68
2023-02,76
2023-03,76
2023-04,0
2023-05,54
2023-06,47
2023-07,38
2023-08,0
2023-09,66
2023-10,47
2023-11,46
2023-12,45
2024-01,58
2024-02,78
2024-03,46
2024-04,69
2024-05,58
2024-06,0
2024-07,0
2024-08,35
2024-09,39
2024-10,43
2024-11,39
2024-12,0
2025-01,66
2025-02,0
2025-03,46
2025-04,47
2025-05,40
