Categoría: Todas las categorías

Mes,criminal justice: (Indiana)
2015-01,72
2015-02,88
2015-03,75
2015-04,97
2015-05,75
2015-06,41
2015-07,52
2015-08,79
2015-09,100
2015-10,85
2015-11,64
2015-12,66
2016-01,77
2016-02,62
2016-03,65
2016-04,77
2016-05,64
2016-06,58
2016-07,47
2016-08,71
2016-09,81
2016-10,84
2016-11,62
2016-12,59
2017-01,75
2017-02,77
2017-03,70
2017-04,66
2017-05,58
2017-06,48
2017-07,42
2017-08,66
2017-09,77
2017-10,70
2017-11,65
2017-12,63
2018-01,67
2018-02,76
2018-03,64
2018-04,70
2018-05,50
2018-06,40
2018-07,53
2018-08,67
2018-09,73
2018-10,82
2018-11,58
2018-12,67
2019-01,69
2019-02,65
2019-03,59
2019-04,64
2019-05,59
2019-06,42
2019-07,40
2019-08,63
2019-09,77
2019-10,77
2019-11,54
2019-12,55
2020-01,71
2020-02,64
2020-03,48
2020-04,52
2020-05,54
2020-06,50
2020-07,44
2020-08,68
2020-09,68
2020-10,68
2020-11,52
2020-12,42
2021-01,44
2021-02,54
2021-03,44
2021-04,44
2021-05,48
2021-06,44
2021-07,37
2021-08,44
2021-09,52
2021-10,50
2021-11,51
2021-12,48
2022-01,59
2022-02,54
2022-03,52
2022-04,66
2022-05,60
2022-06,44
2022-07,33
2022-08,60
2022-09,66
2022-10,57
2022-11,59
2022-12,50
2023-01,59
2023-02,56
2023-03,57
2023-04,52
2023-05,50
2023-06,36
2023-07,35
2023-08,67
2023-09,72
2023-10,61
2023-11,57
2023-12,47
2024-01,65
2024-02,69
2024-03,61
2024-04,63
2024-05,52
2024-06,35
2024-07,38
2024-08,62
2024-09,73
2024-10,71
2024-11,59
2024-12,55
2025-01,65
2025-02,58
2025-03,55
2025-04,65
2025-05,58
