Categoría: Todas las categorías

Mes,criminal justice: (Montana)
2015-01,0
2015-02,56
2015-03,0
2015-04,69
2015-05,76
2015-06,56
2015-07,0
2015-08,93
2015-09,79
2015-10,62
2015-11,70
2015-12,61
2016-01,54
2016-02,65
2016-03,51
2016-04,60
2016-05,0
2016-06,0
2016-07,0
2016-08,0
2016-09,57
2016-10,64
2016-11,0
2016-12,54
2017-01,54
2017-02,76
2017-03,46
2017-04,37
2017-05,53
2017-06,0
2017-07,0
2017-08,0
2017-09,0
2017-10,0
2017-11,50
2017-12,60
2018-01,35
2018-02,0
2018-03,56
2018-04,0
2018-05,75
2018-06,35
2018-07,40
2018-08,43
2018-09,53
2018-10,41
2018-11,41
2018-12,52
2019-01,41
2019-02,39
2019-03,70
2019-04,84
2019-05,41
2019-06,0
2019-07,46
2019-08,0
2019-09,76
2019-10,65
2019-11,50
2019-12,91
2020-01,44
2020-02,79
2020-03,46
2020-04,50
2020-05,44
2020-06,45
2020-07,31
2020-08,53
2020-09,0
2020-10,58
2020-11,38
2020-12,0
2021-01,59
2021-02,62
2021-03,50
2021-04,52
2021-05,0
2021-06,0
2021-07,32
2021-08,0
2021-09,100
2021-10,62
2021-11,67
2021-12,35
2022-01,66
2022-02,74
2022-03,47
2022-04,42
2022-05,41
2022-06,33
2022-07,38
2022-08,29
2022-09,42
2022-10,47
2022-11,49
2022-12,32
2023-01,47
2023-02,31
2023-03,55
2023-04,61
2023-05,32
2023-06,29
2023-07,38
2023-08,43
2023-09,45
2023-10,44
2023-11,35
2023-12,27
2024-01,44
2024-02,70
2024-03,40
2024-04,67
2024-05,43
2024-06,0
2024-07,27
2024-08,0
2024-09,66
2024-10,65
2024-11,43
2024-12,38
2025-01,43
2025-02,56
2025-03,63
2025-04,74
2025-05,40
