Category: All categories

Month,criminal justice: (Tennessee)
2015-01,76
2015-02,69
2015-03,74
2015-04,70
2015-05,58
2015-06,55
2015-07,67
2015-08,80
2015-09,87
2015-10,89
2015-11,79
2015-12,65
2016-01,71
2016-02,69
2016-03,68
2016-04,69
2016-05,74
2016-06,63
2016-07,57
2016-08,81
2016-09,73
2016-10,66
2016-11,62
2016-12,58
2017-01,76
2017-02,73
2017-03,70
2017-04,68
2017-05,59
2017-06,56
2017-07,58
2017-08,71
2017-09,74
2017-10,68
2017-11,71
2017-12,52
2018-01,66
2018-02,72
2018-03,71
2018-04,71
2018-05,62
2018-06,56
2018-07,58
2018-08,76
2018-09,70
2018-10,62
2018-11,67
2018-12,63
2019-01,69
2019-02,72
2019-03,58
2019-04,63
2019-05,62
2019-06,61
2019-07,55
2019-08,70
2019-09,74
2019-10,72
2019-11,59
2019-12,51
2020-01,69
2020-02,73
2020-03,53
2020-04,53
2020-05,53
2020-06,56
2020-07,47
2020-08,70
2020-09,72
2020-10,61
2020-11,51
2020-12,49
2021-01,62
2021-02,54
2021-03,53
2021-04,59
2021-05,49
2021-06,42
2021-07,44
2021-08,56
2021-09,55
2021-10,53
2021-11,53
2021-12,48
2022-01,58
2022-02,63
2022-03,66
2022-04,65
2022-05,54
2022-06,42
2022-07,40
2022-08,72
2022-09,69
2022-10,62
2022-11,57
2022-12,47
2023-01,57
2023-02,54
2023-03,51
2023-04,100
2023-05,54
2023-06,45
2023-07,45
2023-08,68
2023-09,69
2023-10,54
2023-11,56
2023-12,47
2024-01,57
2024-02,67
2024-03,51
2024-04,61
2024-05,54
2024-06,35
2024-07,44
2024-08,74
2024-09,66
2024-10,62
2024-11,56
2024-12,52
2025-01,64
2025-02,56
2025-03,61
2025-04,55
2025-05,58
