Categoría: Todas las categorías

Mes,criminal justice: (Nebraska)
2015-01,68
2015-02,60
2015-03,86
2015-04,96
2015-05,54
2015-06,36
2015-07,50
2015-08,54
2015-09,81
2015-10,87
2015-11,76
2015-12,53
2016-01,71
2016-02,77
2016-03,90
2016-04,68
2016-05,46
2016-06,39
2016-07,50
2016-08,76
2016-09,82
2016-10,75
2016-11,81
2016-12,53
2017-01,67
2017-02,77
2017-03,64
2017-04,74
2017-05,46
2017-06,40
2017-07,41
2017-08,71
2017-09,57
2017-10,76
2017-11,69
2017-12,55
2018-01,69
2018-02,63
2018-03,66
2018-04,67
2018-05,63
2018-06,46
2018-07,37
2018-08,68
2018-09,87
2018-10,74
2018-11,66
2018-12,75
2019-01,80
2019-02,68
2019-03,64
2019-04,62
2019-05,60
2019-06,54
2019-07,42
2019-08,72
2019-09,98
2019-10,78
2019-11,60
2019-12,50
2020-01,67
2020-02,68
2020-03,47
2020-04,63
2020-05,45
2020-06,66
2020-07,40
2020-08,80
2020-09,83
2020-10,68
2020-11,48
2020-12,44
2021-01,66
2021-02,54
2021-03,61
2021-04,57
2021-05,35
2021-06,56
2021-07,45
2021-08,64
2021-09,84
2021-10,60
2021-11,54
2021-12,62
2022-01,67
2022-02,77
2022-03,71
2022-04,81
2022-05,68
2022-06,47
2022-07,49
2022-08,59
2022-09,69
2022-10,82
2022-11,58
2022-12,60
2023-01,62
2023-02,76
2023-03,69
2023-04,61
2023-05,61
2023-06,34
2023-07,41
2023-08,69
2023-09,84
2023-10,86
2023-11,68
2023-12,52
2024-01,63
2024-02,88
2024-03,68
2024-04,77
2024-05,53
2024-06,44
2024-07,34
2024-08,73
2024-09,100
2024-10,93
2024-11,67
2024-12,57
2025-01,80
2025-02,84
2025-03,67
2025-04,82
2025-05,72
