Categoría: Todas las categorías

Mes,criminal justice: (Maine)
2015-01,88
2015-02,88
2015-03,100
2015-04,96
2015-05,76
2015-06,93
2015-07,77
2015-08,66
2015-09,90
2015-10,100
2015-11,96
2015-12,92
2016-01,89
2016-02,65
2016-03,79
2016-04,59
2016-05,62
2016-06,50
2016-07,57
2016-08,67
2016-09,82
2016-10,46
2016-11,61
2016-12,74
2017-01,57
2017-02,66
2017-03,77
2017-04,65
2017-05,64
2017-06,59
2017-07,63
2017-08,66
2017-09,70
2017-10,69
2017-11,60
2017-12,70
2018-01,69
2018-02,90
2018-03,76
2018-04,51
2018-05,71
2018-06,52
2018-07,58
2018-08,58
2018-09,60
2018-10,68
2018-11,55
2018-12,73
2019-01,63
2019-02,85
2019-03,74
2019-04,89
2019-05,65
2019-06,56
2019-07,53
2019-08,44
2019-09,67
2019-10,82
2019-11,69
2019-12,62
2020-01,64
2020-02,85
2020-03,66
2020-04,49
2020-05,46
2020-06,45
2020-07,49
2020-08,45
2020-09,55
2020-10,59
2020-11,49
2020-12,47
2021-01,33
2021-02,62
2021-03,49
2021-04,50
2021-05,51
2021-06,51
2021-07,33
2021-08,37
2021-09,63
2021-10,48
2021-11,39
2021-12,38
2022-01,36
2022-02,60
2022-03,55
2022-04,50
2022-05,37
2022-06,30
2022-07,27
2022-08,36
2022-09,46
2022-10,51
2022-11,42
2022-12,62
2023-01,46
2023-02,46
2023-03,48
2023-04,52
2023-05,47
2023-06,37
2023-07,25
2023-08,34
2023-09,43
2023-10,57
2023-11,59
2023-12,46
2024-01,55
2024-02,45
2024-03,60
2024-04,39
2024-05,41
2024-06,29
2024-07,38
2024-08,43
2024-09,52
2024-10,55
2024-11,46
2024-12,58
2025-01,54
2025-02,49
2025-03,52
2025-04,56
2025-05,46
