Categoría: Todas las categorías

Mes,criminal justice: (Utah)
2015-01,82
2015-02,71
2015-03,62
2015-04,60
2015-05,59
2015-06,30
2015-07,49
2015-08,71
2015-09,100
2015-10,70
2015-11,77
2015-12,47
2016-01,83
2016-02,53
2016-03,55
2016-04,51
2016-05,49
2016-06,58
2016-07,51
2016-08,63
2016-09,63
2016-10,76
2016-11,80
2016-12,49
2017-01,73
2017-02,69
2017-03,66
2017-04,65
2017-05,66
2017-06,45
2017-07,52
2017-08,64
2017-09,62
2017-10,63
2017-11,62
2017-12,57
2018-01,72
2018-02,56
2018-03,65
2018-04,52
2018-05,56
2018-06,49
2018-07,46
2018-08,70
2018-09,72
2018-10,60
2018-11,57
2018-12,67
2019-01,76
2019-02,55
2019-03,57
2019-04,77
2019-05,55
2019-06,70
2019-07,46
2019-08,61
2019-09,76
2019-10,74
2019-11,52
2019-12,58
2020-01,72
2020-02,65
2020-03,48
2020-04,79
2020-05,59
2020-06,65
2020-07,40
2020-08,61
2020-09,62
2020-10,69
2020-11,54
2020-12,46
2021-01,63
2021-02,51
2021-03,52
2021-04,49
2021-05,49
2021-06,33
2021-07,33
2021-08,42
2021-09,60
2021-10,50
2021-11,44
2021-12,43
2022-01,71
2022-02,65
2022-03,59
2022-04,75
2022-05,52
2022-06,52
2022-07,38
2022-08,64
2022-09,73
2022-10,64
2022-11,60
2022-12,59
2023-01,72
2023-02,68
2023-03,63
2023-04,61
2023-05,57
2023-06,37
2023-07,28
2023-08,67
2023-09,72
2023-10,72
2023-11,52
2023-12,46
2024-01,72
2024-02,75
2024-03,68
2024-04,79
2024-05,51
2024-06,40
2024-07,30
2024-08,56
2024-09,76
2024-10,65
2024-11,62
2024-12,54
2025-01,71
2025-02,55
2025-03,52
2025-04,51
2025-05,55
