Categoría: Todas las categorías

Mes,criminal justice: (Virginia)
2015-01,40
2015-02,41
2015-03,39
2015-04,42
2015-05,35
2015-06,36
2015-07,81
2015-08,87
2015-09,91
2015-10,100
2015-11,90
2015-12,72
2016-01,84
2016-02,85
2016-03,81
2016-04,83
2016-05,73
2016-06,61
2016-07,69
2016-08,80
2016-09,88
2016-10,78
2016-11,77
2016-12,59
2017-01,74
2017-02,79
2017-03,75
2017-04,71
2017-05,73
2017-06,62
2017-07,57
2017-08,75
2017-09,73
2017-10,75
2017-11,73
2017-12,64
2018-01,73
2018-02,76
2018-03,70
2018-04,77
2018-05,72
2018-06,61
2018-07,64
2018-08,75
2018-09,81
2018-10,76
2018-11,67
2018-12,74
2019-01,80
2019-02,76
2019-03,75
2019-04,79
2019-05,72
2019-06,66
2019-07,65
2019-08,77
2019-09,84
2019-10,83
2019-11,66
2019-12,65
2020-01,83
2020-02,81
2020-03,61
2020-04,64
2020-05,64
2020-06,73
2020-07,61
2020-08,70
2020-09,82
2020-10,72
2020-11,57
2020-12,57
2021-01,59
2021-02,65
2021-03,63
2021-04,68
2021-05,56
2021-06,55
2021-07,51
2021-08,63
2021-09,70
2021-10,64
2021-11,61
2021-12,56
2022-01,65
2022-02,66
2022-03,67
2022-04,63
2022-05,57
2022-06,45
2022-07,51
2022-08,59
2022-09,65
2022-10,67
2022-11,59
2022-12,53
2023-01,65
2023-02,62
2023-03,62
2023-04,60
2023-05,55
2023-06,43
2023-07,44
2023-08,59
2023-09,62
2023-10,59
2023-11,50
2023-12,45
2024-01,63
2024-02,61
2024-03,57
2024-04,68
2024-05,50
2024-06,46
2024-07,44
2024-08,59
2024-09,65
2024-10,69
2024-11,54
2024-12,49
2025-01,66
2025-02,67
2025-03,59
2025-04,62
2025-05,58
