Categoría: Todas las categorías

Mes,criminal justice: (Carolina del Sur)
2015-01,91
2015-02,90
2015-03,77
2015-04,91
2015-05,75
2015-06,59
2015-07,60
2015-08,75
2015-09,87
2015-10,100
2015-11,85
2015-12,71
2016-01,83
2016-02,80
2016-03,70
2016-04,84
2016-05,63
2016-06,57
2016-07,51
2016-08,77
2016-09,86
2016-10,78
2016-11,76
2016-12,70
2017-01,78
2017-02,81
2017-03,64
2017-04,69
2017-05,71
2017-06,64
2017-07,52
2017-08,63
2017-09,71
2017-10,77
2017-11,65
2017-12,62
2018-01,69
2018-02,73
2018-03,72
2018-04,72
2018-05,67
2018-06,60
2018-07,57
2018-08,59
2018-09,68
2018-10,75
2018-11,70
2018-12,71
2019-01,75
2019-02,61
2019-03,65
2019-04,66
2019-05,69
2019-06,54
2019-07,60
2019-08,68
2019-09,79
2019-10,95
2019-11,70
2019-12,59
2020-01,70
2020-02,74
2020-03,55
2020-04,56
2020-05,59
2020-06,61
2020-07,58
2020-08,65
2020-09,82
2020-10,71
2020-11,48
2020-12,45
2021-01,59
2021-02,69
2021-03,53
2021-04,58
2021-05,53
2021-06,45
2021-07,47
2021-08,52
2021-09,63
2021-10,66
2021-11,60
2021-12,54
2022-01,59
2022-02,62
2022-03,64
2022-04,76
2022-05,58
2022-06,46
2022-07,39
2022-08,61
2022-09,70
2022-10,69
2022-11,57
2022-12,50
2023-01,68
2023-02,63
2023-03,60
2023-04,68
2023-05,55
2023-06,51
2023-07,42
2023-08,56
2023-09,68
2023-10,79
2023-11,57
2023-12,50
2024-01,70
2024-02,65
2024-03,60
2024-04,76
2024-05,53
2024-06,47
2024-07,52
2024-08,69
2024-09,80
2024-10,72
2024-11,66
2024-12,53
2025-01,64
2025-02,74
2025-03,71
2025-04,66
2025-05,64
