Categoria: Tutte le categorie

Mese,immigrants: (Dakota del Sud)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,100
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,72
2008-10,50
2008-11,0
2008-12,0
2009-01,53
2009-02,48
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,47
2010-02,38
2010-03,39
2010-04,39
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,41
2010-10,0
2010-11,36
2010-12,0
2011-01,37
2011-02,28
2011-03,51
2011-04,0
2011-05,0
2011-06,0
2011-07,0
2011-08,0
2011-09,50
2011-10,30
2011-11,27
2011-12,0
2012-01,0
2012-02,35
2012-03,0
2012-04,38
2012-05,0
2012-06,0
2012-07,0
2012-08,0
2012-09,26
2012-10,0
2012-11,26
2012-12,0
2013-01,22
2013-02,28
2013-03,34
2013-04,33
2013-05,0
2013-06,23
2013-07,0
2013-08,0
2013-09,20
2013-10,33
2013-11,23
2013-12,0
2014-01,0
2014-02,28
2014-03,20
2014-04,30
2014-05,0
2014-06,0
2014-07,24
2014-08,0
2014-09,25
2014-10,41
2014-11,26
2014-12,17
2015-01,32
2015-02,23
2015-03,0
2015-04,42
2015-05,28
2015-06,0
2015-07,0
2015-08,24
2015-09,54
2015-10,48
2015-11,39
2015-12,19
2016-01,22
2016-02,28
2016-03,28
2016-04,25
2016-05,24
2016-06,25
2016-07,15
2016-08,14
2016-09,45
2016-10,51
2016-11,56
2016-12,19
2017-01,61
2017-02,76
2017-03,38
2017-04,34
2017-05,33
2017-06,22
2017-07,0
2017-08,14
2017-09,27
2017-10,38
2017-11,20
2017-12,30
2018-01,34
2018-02,30
2018-03,23
2018-04,32
2018-05,37
2018-06,61
2018-07,20
2018-08,20
2018-09,32
2018-10,66
2018-11,59
2018-12,34
2019-01,57
2019-02,46
2019-03,35
2019-04,39
2019-05,19
2019-06,16
2019-07,31
2019-08,31
2019-09,28
2019-10,34
2019-11,21
2019-12,33
2020-01,36
2020-02,29
2020-03,27
2020-04,30
2020-05,20
2020-06,0
2020-07,14
2020-08,15
2020-09,33
2020-10,29
2020-11,26
2020-12,11
2021-01,16
2021-02,16
2021-03,35
2021-04,28
2021-05,13
2021-06,0
2021-07,12
2021-08,15
2021-09,22
2021-10,29
2021-11,26
2021-12,12
2022-01,19
2022-02,0
2022-03,27
2022-04,34
2022-05,25
2022-06,13
2022-07,17
2022-08,12
2022-09,53
2022-10,39
2022-11,31
2022-12,37
2023-01,33
2023-02,27
2023-03,23
2023-04,18
2023-05,27
2023-06,13
2023-07,12
2023-08,13
2023-09,35
2023-10,43
2023-11,26
2023-12,31
2024-01,47
2024-02,49
2024-03,51
2024-04,35
2024-05,19
2024-06,26
2024-07,22
2024-08,30
2024-09,87
2024-10,63
2024-11,61
2024-12,36
2025-01,66
2025-02,74
2025-03,56
2025-04,51
2025-05,45
