Categoría: Todas las categorías

Mes,health: (California)
2015-01,67
2015-02,66
2015-03,64
2015-04,64
2015-05,59
2015-06,61
2015-07,62
2015-08,64
2015-09,61
2015-10,63
2015-11,61
2015-12,56
2016-01,62
2016-02,65
2016-03,63
2016-04,62
2016-05,60
2016-06,56
2016-07,54
2016-08,63
2016-09,62
2016-10,61
2016-11,59
2016-12,53
2017-01,64
2017-02,61
2017-03,68
2017-04,64
2017-05,64
2017-06,64
2017-07,65
2017-08,64
2017-09,65
2017-10,66
2017-11,60
2017-12,56
2018-01,66
2018-02,67
2018-03,65
2018-04,64
2018-05,64
2018-06,59
2018-07,59
2018-08,70
2018-09,65
2018-10,70
2018-11,63
2018-12,56
2019-01,70
2019-02,69
2019-03,71
2019-04,72
2019-05,67
2019-06,65
2019-07,69
2019-08,70
2019-09,72
2019-10,75
2019-11,68
2019-12,60
2020-01,73
2020-02,75
2020-03,100
2020-04,85
2020-05,73
2020-06,77
2020-07,82
2020-08,74
2020-09,72
2020-10,75
2020-11,71
2020-12,74
2021-01,87
2021-02,87
2021-03,87
2021-04,81
2021-05,72
2021-06,74
2021-07,73
2021-08,79
2021-09,84
2021-10,78
2021-11,77
2021-12,76
2022-01,98
2022-02,88
2022-03,86
2022-04,82
2022-05,83
2022-06,83
2022-07,78
2022-08,81
2022-09,82
2022-10,82
2022-11,78
2022-12,72
2023-01,81
2023-02,83
2023-03,85
2023-04,82
2023-05,86
2023-06,83
2023-07,76
2023-08,80
2023-09,84
2023-10,86
2023-11,80
2023-12,74
2024-01,86
2024-02,87
2024-03,85
2024-04,85
2024-05,84
2024-06,80
2024-07,83
2024-08,81
2024-09,82
2024-10,87
2024-11,84
2024-12,84
2025-01,90
2025-02,92
2025-03,91
2025-04,91
2025-05,90
