Categoría: Todas las categorías

Mes,health: (Nebraska)
2015-01,67
2015-02,62
2015-03,59
2015-04,61
2015-05,53
2015-06,55
2015-07,56
2015-08,54
2015-09,55
2015-10,59
2015-11,57
2015-12,48
2016-01,58
2016-02,60
2016-03,60
2016-04,63
2016-05,49
2016-06,55
2016-07,51
2016-08,61
2016-09,61
2016-10,60
2016-11,57
2016-12,50
2017-01,69
2017-02,61
2017-03,64
2017-04,60
2017-05,60
2017-06,57
2017-07,59
2017-08,61
2017-09,61
2017-10,62
2017-11,62
2017-12,53
2018-01,69
2018-02,69
2018-03,62
2018-04,63
2018-05,60
2018-06,58
2018-07,60
2018-08,59
2018-09,61
2018-10,68
2018-11,64
2018-12,55
2019-01,69
2019-02,68
2019-03,65
2019-04,66
2019-05,64
2019-06,62
2019-07,64
2019-08,66
2019-09,68
2019-10,68
2019-11,64
2019-12,65
2020-01,71
2020-02,76
2020-03,94
2020-04,84
2020-05,76
2020-06,74
2020-07,84
2020-08,84
2020-09,82
2020-10,89
2020-11,78
2020-12,73
2021-01,91
2021-02,88
2021-03,91
2021-04,81
2021-05,69
2021-06,69
2021-07,68
2021-08,83
2021-09,85
2021-10,75
2021-11,81
2021-12,78
2022-01,100
2022-02,87
2022-03,82
2022-04,77
2022-05,69
2022-06,72
2022-07,71
2022-08,77
2022-09,80
2022-10,77
2022-11,78
2022-12,66
2023-01,78
2023-02,79
2023-03,78
2023-04,73
2023-05,75
2023-06,70
2023-07,70
2023-08,79
2023-09,76
2023-10,76
2023-11,75
2023-12,67
2024-01,78
2024-02,81
2024-03,77
2024-04,80
2024-05,76
2024-06,71
2024-07,73
2024-08,79
2024-09,76
2024-10,75
2024-11,76
2024-12,74
2025-01,84
2025-02,86
2025-03,79
2025-04,86
2025-05,79
