Categoría: Todas las categorías

Mes,health: (Wyoming)
2015-01,49
2015-02,49
2015-03,48
2015-04,48
2015-05,43
2015-06,45
2015-07,43
2015-08,43
2015-09,45
2015-10,47
2015-11,43
2015-12,42
2016-01,43
2016-02,46
2016-03,45
2016-04,44
2016-05,43
2016-06,44
2016-07,37
2016-08,46
2016-09,43
2016-10,45
2016-11,44
2016-12,39
2017-01,50
2017-02,46
2017-03,50
2017-04,48
2017-05,48
2017-06,47
2017-07,45
2017-08,47
2017-09,49
2017-10,49
2017-11,48
2017-12,41
2018-01,49
2018-02,50
2018-03,52
2018-04,49
2018-05,47
2018-06,40
2018-07,45
2018-08,50
2018-09,47
2018-10,54
2018-11,51
2018-12,45
2019-01,53
2019-02,51
2019-03,48
2019-04,51
2019-05,48
2019-06,45
2019-07,43
2019-08,51
2019-09,48
2019-10,52
2019-11,52
2019-12,46
2020-01,52
2020-02,55
2020-03,100
2020-04,94
2020-05,69
2020-06,70
2020-07,70
2020-08,65
2020-09,67
2020-10,78
2020-11,79
2020-12,69
2021-01,79
2021-02,76
2021-03,73
2021-04,64
2021-05,57
2021-06,55
2021-07,52
2021-08,71
2021-09,69
2021-10,65
2021-11,67
2021-12,59
2022-01,73
2022-02,58
2022-03,57
2022-04,62
2022-05,58
2022-06,59
2022-07,57
2022-08,58
2022-09,60
2022-10,69
2022-11,62
2022-12,53
2023-01,62
2023-02,64
2023-03,66
2023-04,65
2023-05,58
2023-06,59
2023-07,54
2023-08,59
2023-09,61
2023-10,63
2023-11,63
2023-12,61
2024-01,68
2024-02,70
2024-03,66
2024-04,69
2024-05,63
2024-06,57
2024-07,55
2024-08,63
2024-09,62
2024-10,65
2024-11,60
2024-12,64
2025-01,69
2025-02,70
2025-03,66
2025-04,68
2025-05,65
