Categoría: Todas las categorías

Mes,health: (Pensilvania)
2015-01,63
2015-02,67
2015-03,65
2015-04,66
2015-05,59
2015-06,64
2015-07,65
2015-08,63
2015-09,68
2015-10,66
2015-11,68
2015-12,60
2016-01,64
2016-02,66
2016-03,65
2016-04,64
2016-05,58
2016-06,61
2016-07,54
2016-08,65
2016-09,67
2016-10,64
2016-11,63
2016-12,58
2017-01,68
2017-02,63
2017-03,69
2017-04,62
2017-05,65
2017-06,63
2017-07,63
2017-08,65
2017-09,62
2017-10,69
2017-11,65
2017-12,55
2018-01,63
2018-02,66
2018-03,67
2018-04,64
2018-05,60
2018-06,61
2018-07,62
2018-08,68
2018-09,66
2018-10,68
2018-11,61
2018-12,56
2019-01,69
2019-02,70
2019-03,63
2019-04,66
2019-05,63
2019-06,63
2019-07,64
2019-08,67
2019-09,68
2019-10,71
2019-11,66
2019-12,55
2020-01,70
2020-02,73
2020-03,100
2020-04,82
2020-05,70
2020-06,68
2020-07,73
2020-08,75
2020-09,72
2020-10,75
2020-11,70
2020-12,71
2021-01,87
2021-02,89
2021-03,85
2021-04,72
2021-05,65
2021-06,65
2021-07,63
2021-08,69
2021-09,77
2021-10,73
2021-11,70
2021-12,71
2022-01,80
2022-02,78
2022-03,75
2022-04,73
2022-05,70
2022-06,70
2022-07,71
2022-08,75
2022-09,75
2022-10,73
2022-11,69
2022-12,64
2023-01,77
2023-02,78
2023-03,81
2023-04,68
2023-05,73
2023-06,72
2023-07,69
2023-08,76
2023-09,72
2023-10,76
2023-11,73
2023-12,67
2024-01,80
2024-02,81
2024-03,74
2024-04,80
2024-05,74
2024-06,71
2024-07,74
2024-08,74
2024-09,77
2024-10,81
2024-11,72
2024-12,71
2025-01,85
2025-02,84
2025-03,80
2025-04,80
2025-05,76
