Category: All categories

Month,health: (Guam)
2015-01,43
2015-02,41
2015-03,42
2015-04,41
2015-05,42
2015-06,43
2015-07,41
2015-08,44
2015-09,47
2015-10,49
2015-11,43
2015-12,45
2016-01,40
2016-02,49
2016-03,42
2016-04,48
2016-05,47
2016-06,48
2016-07,42
2016-08,49
2016-09,47
2016-10,52
2016-11,39
2016-12,41
2017-01,55
2017-02,51
2017-03,50
2017-04,52
2017-05,55
2017-06,42
2017-07,53
2017-08,56
2017-09,59
2017-10,52
2017-11,52
2017-12,46
2018-01,51
2018-02,46
2018-03,51
2018-04,52
2018-05,56
2018-06,53
2018-07,57
2018-08,60
2018-09,54
2018-10,48
2018-11,43
2018-12,41
2019-01,56
2019-02,58
2019-03,54
2019-04,47
2019-05,44
2019-06,48
2019-07,56
2019-08,52
2019-09,59
2019-10,62
2019-11,52
2019-12,52
2020-01,58
2020-02,57
2020-03,68
2020-04,64
2020-05,73
2020-06,77
2020-07,75
2020-08,73
2020-09,70
2020-10,81
2020-11,72
2020-12,64
2021-01,70
2021-02,75
2021-03,59
2021-04,68
2021-05,68
2021-06,71
2021-07,65
2021-08,85
2021-09,85
2021-10,75
2021-11,71
2021-12,66
2022-01,100
2022-02,90
2022-03,87
2022-04,83
2022-05,87
2022-06,81
2022-07,76
2022-08,91
2022-09,73
2022-10,86
2022-11,69
2022-12,66
2023-01,74
2023-02,71
2023-03,67
2023-04,68
2023-05,60
2023-06,74
2023-07,70
2023-08,75
2023-09,73
2023-10,69
2023-11,68
2023-12,52
2024-01,57
2024-02,74
2024-03,66
2024-04,71
2024-05,61
2024-06,66
2024-07,71
2024-08,68
2024-09,73
2024-10,70
2024-11,62
2024-12,56
2025-01,72
2025-02,70
2025-03,76
2025-04,69
2025-05,66
