Categoría: Todas las categorías

Mes,health: (Indiana)
2015-01,69
2015-02,66
2015-03,66
2015-04,66
2015-05,62
2015-06,65
2015-07,66
2015-08,67
2015-09,64
2015-10,67
2015-11,66
2015-12,62
2016-01,64
2016-02,63
2016-03,65
2016-04,63
2016-05,59
2016-06,64
2016-07,60
2016-08,65
2016-09,61
2016-10,62
2016-11,61
2016-12,54
2017-01,68
2017-02,65
2017-03,68
2017-04,65
2017-05,65
2017-06,66
2017-07,66
2017-08,69
2017-09,63
2017-10,69
2017-11,69
2017-12,58
2018-01,72
2018-02,69
2018-03,66
2018-04,66
2018-05,64
2018-06,66
2018-07,69
2018-08,70
2018-09,65
2018-10,69
2018-11,65
2018-12,59
2019-01,69
2019-02,71
2019-03,68
2019-04,73
2019-05,66
2019-06,67
2019-07,69
2019-08,73
2019-09,68
2019-10,76
2019-11,69
2019-12,63
2020-01,79
2020-02,77
2020-03,100
2020-04,79
2020-05,68
2020-06,70
2020-07,80
2020-08,78
2020-09,77
2020-10,82
2020-11,79
2020-12,73
2021-01,82
2021-02,81
2021-03,81
2021-04,78
2021-05,69
2021-06,71
2021-07,72
2021-08,84
2021-09,85
2021-10,82
2021-11,82
2021-12,82
2022-01,94
2022-02,80
2022-03,81
2022-04,76
2022-05,75
2022-06,78
2022-07,74
2022-08,85
2022-09,79
2022-10,78
2022-11,77
2022-12,71
2023-01,77
2023-02,83
2023-03,86
2023-04,79
2023-05,83
2023-06,83
2023-07,77
2023-08,85
2023-09,82
2023-10,86
2023-11,80
2023-12,76
2024-01,88
2024-02,89
2024-03,80
2024-04,83
2024-05,81
2024-06,84
2024-07,82
2024-08,89
2024-09,82
2024-10,87
2024-11,85
2024-12,84
2025-01,93
2025-02,93
2025-03,87
2025-04,92
2025-05,87
