Categoría: Todas las categorías

Mes,health: (Massachusetts)
2015-01,76
2015-02,72
2015-03,74
2015-04,75
2015-05,65
2015-06,72
2015-07,71
2015-08,70
2015-09,72
2015-10,71
2015-11,71
2015-12,66
2016-01,74
2016-02,72
2016-03,72
2016-04,70
2016-05,64
2016-06,66
2016-07,58
2016-08,66
2016-09,71
2016-10,69
2016-11,71
2016-12,63
2017-01,79
2017-02,70
2017-03,84
2017-04,70
2017-05,71
2017-06,71
2017-07,72
2017-08,70
2017-09,73
2017-10,75
2017-11,75
2017-12,66
2018-01,78
2018-02,79
2018-03,75
2018-04,76
2018-05,72
2018-06,71
2018-07,67
2018-08,72
2018-09,75
2018-10,75
2018-11,71
2018-12,71
2019-01,78
2019-02,78
2019-03,77
2019-04,79
2019-05,71
2019-06,72
2019-07,72
2019-08,75
2019-09,77
2019-10,83
2019-11,74
2019-12,69
2020-01,82
2020-02,84
2020-03,87
2020-04,77
2020-05,65
2020-06,67
2020-07,81
2020-08,81
2020-09,78
2020-10,82
2020-11,78
2020-12,76
2021-01,84
2021-02,88
2021-03,87
2021-04,81
2021-05,70
2021-06,71
2021-07,70
2021-08,76
2021-09,78
2021-10,77
2021-11,81
2021-12,78
2022-01,89
2022-02,86
2022-03,91
2022-04,85
2022-05,76
2022-06,73
2022-07,75
2022-08,81
2022-09,80
2022-10,79
2022-11,79
2022-12,73
2023-01,86
2023-02,87
2023-03,88
2023-04,87
2023-05,79
2023-06,83
2023-07,74
2023-08,82
2023-09,82
2023-10,86
2023-11,82
2023-12,78
2024-01,96
2024-02,96
2024-03,88
2024-04,84
2024-05,83
2024-06,76
2024-07,82
2024-08,78
2024-09,87
2024-10,91
2024-11,83
2024-12,87
2025-01,100
2025-02,98
2025-03,94
2025-04,93
2025-05,85
