Categoría: Todas las categorías

Mes,health: (Carolina del Norte)
2015-01,63
2015-02,63
2015-03,63
2015-04,61
2015-05,57
2015-06,61
2015-07,60
2015-08,62
2015-09,62
2015-10,63
2015-11,62
2015-12,58
2016-01,62
2016-02,63
2016-03,60
2016-04,59
2016-05,56
2016-06,56
2016-07,53
2016-08,59
2016-09,62
2016-10,59
2016-11,57
2016-12,51
2017-01,62
2017-02,66
2017-03,63
2017-04,59
2017-05,59
2017-06,59
2017-07,58
2017-08,62
2017-09,60
2017-10,67
2017-11,61
2017-12,55
2018-01,65
2018-02,65
2018-03,62
2018-04,64
2018-05,58
2018-06,62
2018-07,60
2018-08,68
2018-09,59
2018-10,69
2018-11,65
2018-12,56
2019-01,71
2019-02,69
2019-03,66
2019-04,70
2019-05,69
2019-06,65
2019-07,67
2019-08,68
2019-09,69
2019-10,74
2019-11,67
2019-12,59
2020-01,73
2020-02,68
2020-03,77
2020-04,65
2020-05,61
2020-06,68
2020-07,72
2020-08,74
2020-09,68
2020-10,76
2020-11,68
2020-12,72
2021-01,100
2021-02,86
2021-03,89
2021-04,77
2021-05,66
2021-06,73
2021-07,68
2021-08,81
2021-09,84
2021-10,78
2021-11,78
2021-12,72
2022-01,91
2022-02,86
2022-03,80
2022-04,79
2022-05,77
2022-06,82
2022-07,79
2022-08,88
2022-09,83
2022-10,83
2022-11,80
2022-12,74
2023-01,90
2023-02,84
2023-03,88
2023-04,78
2023-05,87
2023-06,81
2023-07,79
2023-08,83
2023-09,85
2023-10,85
2023-11,86
2023-12,75
2024-01,93
2024-02,87
2024-03,84
2024-04,87
2024-05,80
2024-06,79
2024-07,86
2024-08,86
2024-09,84
2024-10,91
2024-11,86
2024-12,82
2025-01,96
2025-02,97
2025-03,91
2025-04,88
2025-05,88
