Categoría: Todas las categorías

Mes,health: (Colorado)
2015-01,64
2015-02,63
2015-03,60
2015-04,62
2015-05,53
2015-06,59
2015-07,61
2015-08,62
2015-09,63
2015-10,65
2015-11,66
2015-12,65
2016-01,63
2016-02,65
2016-03,61
2016-04,63
2016-05,57
2016-06,58
2016-07,53
2016-08,61
2016-09,59
2016-10,61
2016-11,62
2016-12,58
2017-01,66
2017-02,65
2017-03,64
2017-04,64
2017-05,64
2017-06,61
2017-07,56
2017-08,65
2017-09,61
2017-10,64
2017-11,68
2017-12,61
2018-01,68
2018-02,67
2018-03,67
2018-04,70
2018-05,61
2018-06,60
2018-07,64
2018-08,65
2018-09,61
2018-10,65
2018-11,64
2018-12,60
2019-01,69
2019-02,69
2019-03,67
2019-04,70
2019-05,64
2019-06,63
2019-07,66
2019-08,65
2019-09,65
2019-10,73
2019-11,68
2019-12,66
2020-01,74
2020-02,75
2020-03,97
2020-04,78
2020-05,70
2020-06,73
2020-07,80
2020-08,72
2020-09,76
2020-10,81
2020-11,80
2020-12,73
2021-01,91
2021-02,100
2021-03,94
2021-04,87
2021-05,77
2021-06,69
2021-07,68
2021-08,78
2021-09,84
2021-10,80
2021-11,86
2021-12,78
2022-01,92
2022-02,84
2022-03,81
2022-04,79
2022-05,78
2022-06,77
2022-07,73
2022-08,80
2022-09,78
2022-10,82
2022-11,82
2022-12,75
2023-01,81
2023-02,78
2023-03,86
2023-04,82
2023-05,78
2023-06,83
2023-07,77
2023-08,80
2023-09,77
2023-10,82
2023-11,79
2023-12,75
2024-01,85
2024-02,83
2024-03,80
2024-04,80
2024-05,76
2024-06,72
2024-07,76
2024-08,78
2024-09,86
2024-10,81
2024-11,83
2024-12,83
2025-01,86
2025-02,91
2025-03,82
2025-04,83
2025-05,81
