Categoría: Todas las categorías

Mes,health: (Hawái)
2015-01,54
2015-02,59
2015-03,53
2015-04,58
2015-05,55
2015-06,64
2015-07,62
2015-08,61
2015-09,62
2015-10,63
2015-11,61
2015-12,62
2016-01,61
2016-02,66
2016-03,59
2016-04,61
2016-05,57
2016-06,59
2016-07,55
2016-08,58
2016-09,59
2016-10,57
2016-11,53
2016-12,51
2017-01,55
2017-02,58
2017-03,62
2017-04,62
2017-05,61
2017-06,62
2017-07,57
2017-08,61
2017-09,58
2017-10,61
2017-11,56
2017-12,55
2018-01,59
2018-02,62
2018-03,57
2018-04,62
2018-05,58
2018-06,56
2018-07,60
2018-08,59
2018-09,58
2018-10,64
2018-11,57
2018-12,54
2019-01,62
2019-02,61
2019-03,59
2019-04,65
2019-05,59
2019-06,58
2019-07,58
2019-08,57
2019-09,63
2019-10,62
2019-11,57
2019-12,55
2020-01,62
2020-02,64
2020-03,90
2020-04,85
2020-05,70
2020-06,69
2020-07,73
2020-08,79
2020-09,71
2020-10,73
2020-11,70
2020-12,65
2021-01,87
2021-02,73
2021-03,91
2021-04,80
2021-05,70
2021-06,64
2021-07,66
2021-08,76
2021-09,97
2021-10,72
2021-11,76
2021-12,80
2022-01,100
2022-02,79
2022-03,83
2022-04,79
2022-05,89
2022-06,81
2022-07,73
2022-08,79
2022-09,76
2022-10,75
2022-11,69
2022-12,67
2023-01,72
2023-02,73
2023-03,79
2023-04,71
2023-05,71
2023-06,73
2023-07,63
2023-08,71
2023-09,74
2023-10,77
2023-11,69
2023-12,63
2024-01,77
2024-02,75
2024-03,67
2024-04,75
2024-05,73
2024-06,68
2024-07,65
2024-08,70
2024-09,77
2024-10,74
2024-11,71
2024-12,67
2025-01,81
2025-02,78
2025-03,73
2025-04,74
2025-05,81
