Categoría: Todas las categorías

Mes,health: (Kentucky)
2015-01,58
2015-02,55
2015-03,55
2015-04,57
2015-05,55
2015-06,56
2015-07,63
2015-08,64
2015-09,64
2015-10,67
2015-11,62
2015-12,57
2016-01,61
2016-02,63
2016-03,63
2016-04,59
2016-05,59
2016-06,59
2016-07,53
2016-08,64
2016-09,62
2016-10,60
2016-11,61
2016-12,54
2017-01,64
2017-02,63
2017-03,63
2017-04,58
2017-05,62
2017-06,60
2017-07,61
2017-08,64
2017-09,60
2017-10,65
2017-11,62
2017-12,55
2018-01,65
2018-02,65
2018-03,60
2018-04,62
2018-05,60
2018-06,63
2018-07,64
2018-08,70
2018-09,63
2018-10,68
2018-11,60
2018-12,57
2019-01,67
2019-02,68
2019-03,62
2019-04,68
2019-05,61
2019-06,62
2019-07,65
2019-08,67
2019-09,64
2019-10,67
2019-11,61
2019-12,60
2020-01,72
2020-02,69
2020-03,76
2020-04,66
2020-05,59
2020-06,65
2020-07,76
2020-08,74
2020-09,74
2020-10,79
2020-11,73
2020-12,69
2021-01,96
2021-02,94
2021-03,89
2021-04,75
2021-05,67
2021-06,71
2021-07,70
2021-08,91
2021-09,88
2021-10,81
2021-11,82
2021-12,78
2022-01,100
2022-02,80
2022-03,79
2022-04,77
2022-05,73
2022-06,77
2022-07,72
2022-08,82
2022-09,81
2022-10,81
2022-11,79
2022-12,69
2023-01,79
2023-02,84
2023-03,80
2023-04,74
2023-05,77
2023-06,80
2023-07,74
2023-08,85
2023-09,79
2023-10,82
2023-11,79
2023-12,66
2024-01,84
2024-02,87
2024-03,79
2024-04,79
2024-05,76
2024-06,81
2024-07,76
2024-08,82
2024-09,82
2024-10,88
2024-11,75
2024-12,79
2025-01,90
2025-02,89
2025-03,83
2025-04,81
2025-05,85
