Category: All categories

Month,rent: (New Hampshire)
2015-01,64
2015-02,69
2015-03,77
2015-04,73
2015-05,74
2015-06,78
2015-07,77
2015-08,72
2015-09,62
2015-10,56
2015-11,49
2015-12,49
2016-01,75
2016-02,76
2016-03,78
2016-04,91
2016-05,85
2016-06,85
2016-07,93
2016-08,83
2016-09,72
2016-10,64
2016-11,60
2016-12,57
2017-01,72
2017-02,76
2017-03,80
2017-04,83
2017-05,85
2017-06,100
2017-07,91
2017-08,81
2017-09,73
2017-10,68
2017-11,63
2017-12,55
2018-01,79
2018-02,78
2018-03,83
2018-04,86
2018-05,80
2018-06,82
2018-07,89
2018-08,92
2018-09,76
2018-10,69
2018-11,65
2018-12,62
2019-01,83
2019-02,79
2019-03,79
2019-04,82
2019-05,84
2019-06,87
2019-07,92
2019-08,83
2019-09,74
2019-10,69
2019-11,66
2019-12,58
2020-01,80
2020-02,81
2020-03,64
2020-04,59
2020-05,77
2020-06,83
2020-07,87
2020-08,80
2020-09,74
2020-10,78
2020-11,64
2020-12,61
2021-01,77
2021-02,80
2021-03,86
2021-04,88
2021-05,94
2021-06,93
2021-07,92
2021-08,86
2021-09,86
2021-10,75
2021-11,72
2021-12,65
2022-01,79
2022-02,76
2022-03,85
2022-04,83
2022-05,77
2022-06,81
2022-07,80
2022-08,74
2022-09,73
2022-10,63
2022-11,60
2022-12,56
2023-01,66
2023-02,73
2023-03,72
2023-04,75
2023-05,74
2023-06,72
2023-07,73
2023-08,73
2023-09,70
2023-10,59
2023-11,60
2023-12,59
2024-01,66
2024-02,64
2024-03,64
2024-04,65
2024-05,64
2024-06,65
2024-07,66
2024-08,63
2024-09,61
2024-10,56
2024-11,53
2024-12,52
2025-01,61
2025-02,62
2025-03,62
2025-04,66
2025-05,69
