Category: All categories

Month,rent: (Idaho)
2015-01,69
2015-02,74
2015-03,83
2015-04,81
2015-05,83
2015-06,86
2015-07,89
2015-08,82
2015-09,66
2015-10,58
2015-11,56
2015-12,55
2016-01,82
2016-02,82
2016-03,80
2016-04,90
2016-05,89
2016-06,90
2016-07,93
2016-08,92
2016-09,75
2016-10,67
2016-11,66
2016-12,62
2017-01,77
2017-02,93
2017-03,85
2017-04,87
2017-05,90
2017-06,94
2017-07,97
2017-08,88
2017-09,73
2017-10,71
2017-11,63
2017-12,58
2018-01,77
2018-02,83
2018-03,78
2018-04,85
2018-05,87
2018-06,89
2018-07,94
2018-08,88
2018-09,73
2018-10,68
2018-11,66
2018-12,63
2019-01,78
2019-02,77
2019-03,84
2019-04,85
2019-05,86
2019-06,96
2019-07,84
2019-08,84
2019-09,73
2019-10,67
2019-11,63
2019-12,59
2020-01,72
2020-02,80
2020-03,70
2020-04,67
2020-05,76
2020-06,83
2020-07,100
2020-08,80
2020-09,75
2020-10,73
2020-11,68
2020-12,64
2021-01,78
2021-02,83
2021-03,86
2021-04,94
2021-05,90
2021-06,95
2021-07,93
2021-08,93
2021-09,80
2021-10,74
2021-11,73
2021-12,69
2022-01,80
2022-02,82
2022-03,88
2022-04,90
2022-05,82
2022-06,78
2022-07,84
2022-08,78
2022-09,71
2022-10,63
2022-11,60
2022-12,65
2023-01,71
2023-02,78
2023-03,66
2023-04,73
2023-05,72
2023-06,80
2023-07,75
2023-08,76
2023-09,67
2023-10,59
2023-11,58
2023-12,58
2024-01,64
2024-02,70
2024-03,65
2024-04,73
2024-05,68
2024-06,70
2024-07,68
2024-08,67
2024-09,61
2024-10,63
2024-11,54
2024-12,56
2025-01,64
2025-02,64
2025-03,70
2025-04,64
2025-05,75
