Category: All categories

Month,rent: (Connecticut)
2015-01,62
2015-02,57
2015-03,62
2015-04,61
2015-05,65
2015-06,68
2015-07,76
2015-08,72
2015-09,57
2015-10,49
2015-11,50
2015-12,48
2016-01,75
2016-02,73
2016-03,80
2016-04,85
2016-05,83
2016-06,83
2016-07,88
2016-08,82
2016-09,73
2016-10,66
2016-11,59
2016-12,59
2017-01,76
2017-02,74
2017-03,78
2017-04,81
2017-05,80
2017-06,88
2017-07,89
2017-08,81
2017-09,70
2017-10,68
2017-11,61
2017-12,58
2018-01,75
2018-02,76
2018-03,74
2018-04,80
2018-05,75
2018-06,83
2018-07,86
2018-08,86
2018-09,70
2018-10,67
2018-11,61
2018-12,60
2019-01,86
2019-02,76
2019-03,79
2019-04,78
2019-05,83
2019-06,85
2019-07,90
2019-08,86
2019-09,73
2019-10,71
2019-11,64
2019-12,64
2020-01,79
2020-02,76
2020-03,63
2020-04,64
2020-05,78
2020-06,91
2020-07,96
2020-08,88
2020-09,75
2020-10,76
2020-11,65
2020-12,64
2021-01,80
2021-02,83
2021-03,91
2021-04,93
2021-05,99
2021-06,98
2021-07,100
2021-08,100
2021-09,89
2021-10,83
2021-11,81
2021-12,73
2022-01,80
2022-02,89
2022-03,91
2022-04,87
2022-05,83
2022-06,86
2022-07,90
2022-08,89
2022-09,76
2022-10,69
2022-11,61
2022-12,59
2023-01,70
2023-02,77
2023-03,75
2023-04,77
2023-05,73
2023-06,76
2023-07,84
2023-08,78
2023-09,71
2023-10,62
2023-11,59
2023-12,59
2024-01,65
2024-02,64
2024-03,65
2024-04,65
2024-05,66
2024-06,70
2024-07,73
2024-08,71
2024-09,60
2024-10,53
2024-11,56
2024-12,53
2025-01,64
2025-02,63
2025-03,67
2025-04,66
2025-05,73
