Category: All categories

Month,rent: (Massachusetts)
2015-01,69
2015-02,71
2015-03,82
2015-04,77
2015-05,83
2015-06,85
2015-07,83
2015-08,83
2015-09,68
2015-10,66
2015-11,61
2015-12,60
2016-01,79
2016-02,84
2016-03,80
2016-04,88
2016-05,92
2016-06,90
2016-07,89
2016-08,89
2016-09,81
2016-10,73
2016-11,69
2016-12,63
2017-01,78
2017-02,78
2017-03,82
2017-04,86
2017-05,86
2017-06,89
2017-07,89
2017-08,87
2017-09,73
2017-10,69
2017-11,66
2017-12,60
2018-01,74
2018-02,81
2018-03,82
2018-04,85
2018-05,80
2018-06,82
2018-07,90
2018-08,92
2018-09,76
2018-10,62
2018-11,65
2018-12,63
2019-01,82
2019-02,79
2019-03,81
2019-04,81
2019-05,81
2019-06,88
2019-07,88
2019-08,88
2019-09,76
2019-10,73
2019-11,68
2019-12,61
2020-01,78
2020-02,79
2020-03,66
2020-04,64
2020-05,78
2020-06,88
2020-07,95
2020-08,88
2020-09,73
2020-10,72
2020-11,66
2020-12,62
2021-01,78
2021-02,85
2021-03,89
2021-04,91
2021-05,95
2021-06,100
2021-07,92
2021-08,92
2021-09,85
2021-10,78
2021-11,77
2021-12,75
2022-01,78
2022-02,86
2022-03,89
2022-04,87
2022-05,84
2022-06,86
2022-07,85
2022-08,90
2022-09,71
2022-10,65
2022-11,59
2022-12,59
2023-01,70
2023-02,72
2023-03,77
2023-04,79
2023-05,75
2023-06,81
2023-07,83
2023-08,77
2023-09,70
2023-10,62
2023-11,65
2023-12,55
2024-01,65
2024-02,67
2024-03,65
2024-04,70
2024-05,68
2024-06,66
2024-07,70
2024-08,67
2024-09,60
2024-10,55
2024-11,53
2024-12,53
2025-01,64
2025-02,64
2025-03,67
2025-04,68
2025-05,64
