Category: All categories

Month,rent: (Indiana)
2015-01,63
2015-02,62
2015-03,66
2015-04,67
2015-05,70
2015-06,72
2015-07,72
2015-08,60
2015-09,51
2015-10,51
2015-11,45
2015-12,49
2016-01,79
2016-02,81
2016-03,82
2016-04,85
2016-05,85
2016-06,93
2016-07,94
2016-08,80
2016-09,77
2016-10,72
2016-11,61
2016-12,61
2017-01,85
2017-02,80
2017-03,93
2017-04,85
2017-05,88
2017-06,94
2017-07,96
2017-08,82
2017-09,75
2017-10,72
2017-11,67
2017-12,60
2018-01,80
2018-02,83
2018-03,83
2018-04,81
2018-05,88
2018-06,92
2018-07,93
2018-08,80
2018-09,74
2018-10,67
2018-11,65
2018-12,64
2019-01,84
2019-02,82
2019-03,90
2019-04,84
2019-05,84
2019-06,92
2019-07,96
2019-08,83
2019-09,77
2019-10,73
2019-11,64
2019-12,63
2020-01,83
2020-02,79
2020-03,69
2020-04,70
2020-05,86
2020-06,98
2020-07,98
2020-08,85
2020-09,78
2020-10,78
2020-11,65
2020-12,67
2021-01,85
2021-02,86
2021-03,96
2021-04,95
2021-05,100
2021-06,99
2021-07,100
2021-08,94
2021-09,86
2021-10,87
2021-11,76
2021-12,72
2022-01,83
2022-02,85
2022-03,98
2022-04,87
2022-05,88
2022-06,95
2022-07,88
2022-08,86
2022-09,75
2022-10,70
2022-11,67
2022-12,59
2023-01,72
2023-02,70
2023-03,76
2023-04,73
2023-05,80
2023-06,80
2023-07,80
2023-08,73
2023-09,65
2023-10,59
2023-11,57
2023-12,54
2024-01,65
2024-02,65
2024-03,61
2024-04,64
2024-05,64
2024-06,69
2024-07,68
2024-08,63
2024-09,57
2024-10,50
2024-11,50
2024-12,50
2025-01,59
2025-02,61
2025-03,64
2025-04,66
2025-05,63
