Category: All categories

Month,rent: (Kentucky)
2015-01,75
2015-02,74
2015-03,76
2015-04,81
2015-05,88
2015-06,84
2015-07,74
2015-08,67
2015-09,60
2015-10,58
2015-11,53
2015-12,52
2016-01,83
2016-02,87
2016-03,86
2016-04,90
2016-05,92
2016-06,100
2016-07,95
2016-08,85
2016-09,78
2016-10,76
2016-11,67
2016-12,63
2017-01,85
2017-02,88
2017-03,85
2017-04,90
2017-05,87
2017-06,95
2017-07,96
2017-08,85
2017-09,73
2017-10,77
2017-11,67
2017-12,62
2018-01,83
2018-02,88
2018-03,92
2018-04,87
2018-05,87
2018-06,98
2018-07,85
2018-08,84
2018-09,71
2018-10,74
2018-11,66
2018-12,68
2019-01,88
2019-02,83
2019-03,87
2019-04,88
2019-05,87
2019-06,96
2019-07,94
2019-08,81
2019-09,76
2019-10,72
2019-11,62
2019-12,66
2020-01,81
2020-02,78
2020-03,72
2020-04,74
2020-05,93
2020-06,97
2020-07,97
2020-08,86
2020-09,78
2020-10,79
2020-11,69
2020-12,70
2021-01,84
2021-02,87
2021-03,96
2021-04,97
2021-05,99
2021-06,97
2021-07,97
2021-08,92
2021-09,87
2021-10,84
2021-11,80
2021-12,74
2022-01,77
2022-02,89
2022-03,93
2022-04,86
2022-05,86
2022-06,91
2022-07,89
2022-08,83
2022-09,79
2022-10,68
2022-11,62
2022-12,59
2023-01,71
2023-02,70
2023-03,72
2023-04,76
2023-05,77
2023-06,82
2023-07,82
2023-08,71
2023-09,65
2023-10,62
2023-11,57
2023-12,55
2024-01,62
2024-02,64
2024-03,60
2024-04,68
2024-05,67
2024-06,73
2024-07,68
2024-08,63
2024-09,58
2024-10,57
2024-11,52
2024-12,55
2025-01,60
2025-02,59
2025-03,64
2025-04,63
2025-05,63
