Category: All categories

Month,rent: (Florida)
2015-01,80
2015-02,82
2015-03,85
2015-04,87
2015-05,83
2015-06,89
2015-07,87
2015-08,90
2015-09,74
2015-10,69
2015-11,67
2015-12,68
2016-01,94
2016-02,100
2016-03,97
2016-04,94
2016-05,95
2016-06,95
2016-07,96
2016-08,89
2016-09,82
2016-10,77
2016-11,71
2016-12,79
2017-01,86
2017-02,86
2017-03,86
2017-04,87
2017-05,89
2017-06,97
2017-07,90
2017-08,86
2017-09,70
2017-10,80
2017-11,76
2017-12,68
2018-01,82
2018-02,85
2018-03,90
2018-04,88
2018-05,80
2018-06,89
2018-07,87
2018-08,81
2018-09,74
2018-10,72
2018-11,69
2018-12,72
2019-01,86
2019-02,84
2019-03,85
2019-04,92
2019-05,86
2019-06,93
2019-07,87
2019-08,77
2019-09,72
2019-10,73
2019-11,65
2019-12,69
2020-01,80
2020-02,79
2020-03,70
2020-04,64
2020-05,80
2020-06,90
2020-07,89
2020-08,81
2020-09,75
2020-10,75
2020-11,69
2020-12,65
2021-01,75
2021-02,81
2021-03,89
2021-04,90
2021-05,94
2021-06,95
2021-07,90
2021-08,87
2021-09,82
2021-10,76
2021-11,77
2021-12,75
2022-01,85
2022-02,89
2022-03,89
2022-04,86
2022-05,84
2022-06,87
2022-07,85
2022-08,77
2022-09,69
2022-10,67
2022-11,63
2022-12,62
2023-01,73
2023-02,72
2023-03,72
2023-04,71
2023-05,71
2023-06,71
2023-07,74
2023-08,67
2023-09,63
2023-10,59
2023-11,58
2023-12,56
2024-01,64
2024-02,60
2024-03,60
2024-04,62
2024-05,64
2024-06,62
2024-07,61
2024-08,58
2024-09,55
2024-10,52
2024-11,54
2024-12,52
2025-01,57
2025-02,61
2025-03,60
2025-04,59
2025-05,58
