Categoría: Todas las categorías

Mes,healthcare: (Misisipi)
2015-01,64
2015-02,58
2015-03,61
2015-04,68
2015-05,61
2015-06,71
2015-07,59
2015-08,57
2015-09,65
2015-10,56
2015-11,59
2015-12,51
2016-01,56
2016-02,54
2016-03,53
2016-04,54
2016-05,52
2016-06,55
2016-07,49
2016-08,56
2016-09,53
2016-10,57
2016-11,56
2016-12,41
2017-01,58
2017-02,53
2017-03,63
2017-04,53
2017-05,60
2017-06,63
2017-07,58
2017-08,60
2017-09,55
2017-10,56
2017-11,61
2017-12,54
2018-01,59
2018-02,55
2018-03,52
2018-04,61
2018-05,55
2018-06,57
2018-07,57
2018-08,61
2018-09,53
2018-10,60
2018-11,51
2018-12,48
2019-01,62
2019-02,53
2019-03,54
2019-04,63
2019-05,53
2019-06,57
2019-07,54
2019-08,52
2019-09,56
2019-10,53
2019-11,49
2019-12,48
2020-01,57
2020-02,59
2020-03,62
2020-04,88
2020-05,67
2020-06,55
2020-07,57
2020-08,56
2020-09,59
2020-10,61
2020-11,61
2020-12,64
2021-01,69
2021-02,63
2021-03,59
2021-04,62
2021-05,60
2021-06,64
2021-07,67
2021-08,73
2021-09,67
2021-10,67
2021-11,68
2021-12,66
2022-01,83
2022-02,76
2022-03,73
2022-04,68
2022-05,70
2022-06,73
2022-07,72
2022-08,78
2022-09,69
2022-10,67
2022-11,64
2022-12,63
2023-01,76
2023-02,69
2023-03,72
2023-04,69
2023-05,70
2023-06,72
2023-07,71
2023-08,77
2023-09,68
2023-10,75
2023-11,75
2023-12,62
2024-01,77
2024-02,79
2024-03,77
2024-04,79
2024-05,72
2024-06,72
2024-07,75
2024-08,76
2024-09,68
2024-10,71
2024-11,71
2024-12,100
2025-01,84
2025-02,82
2025-03,75
2025-04,75
2025-05,77
