Categoría: Todas las categorías

Mes,healthcare: (Arkansas)
2015-01,53
2015-02,47
2015-03,47
2015-04,47
2015-05,41
2015-06,49
2015-07,50
2015-08,49
2015-09,52
2015-10,46
2015-11,41
2015-12,42
2016-01,43
2016-02,40
2016-03,38
2016-04,41
2016-05,37
2016-06,36
2016-07,34
2016-08,42
2016-09,39
2016-10,39
2016-11,43
2016-12,34
2017-01,44
2017-02,40
2017-03,53
2017-04,38
2017-05,52
2017-06,49
2017-07,50
2017-08,44
2017-09,46
2017-10,50
2017-11,49
2017-12,38
2018-01,44
2018-02,43
2018-03,40
2018-04,44
2018-05,42
2018-06,44
2018-07,47
2018-08,44
2018-09,46
2018-10,49
2018-11,43
2018-12,37
2019-01,45
2019-02,45
2019-03,41
2019-04,48
2019-05,39
2019-06,42
2019-07,45
2019-08,42
2019-09,42
2019-10,43
2019-11,40
2019-12,38
2020-01,45
2020-02,46
2020-03,57
2020-04,71
2020-05,52
2020-06,47
2020-07,44
2020-08,41
2020-09,47
2020-10,52
2020-11,48
2020-12,46
2021-01,53
2021-02,48
2021-03,47
2021-04,49
2021-05,44
2021-06,46
2021-07,47
2021-08,53
2021-09,56
2021-10,50
2021-11,51
2021-12,51
2022-01,68
2022-02,58
2022-03,60
2022-04,54
2022-05,52
2022-06,51
2022-07,53
2022-08,59
2022-09,56
2022-10,53
2022-11,51
2022-12,51
2023-01,58
2023-02,53
2023-03,53
2023-04,54
2023-05,55
2023-06,58
2023-07,60
2023-08,63
2023-09,61
2023-10,67
2023-11,62
2023-12,57
2024-01,72
2024-02,72
2024-03,63
2024-04,65
2024-05,59
2024-06,53
2024-07,56
2024-08,63
2024-09,63
2024-10,64
2024-11,60
2024-12,100
2025-01,70
2025-02,58
2025-03,62
2025-04,63
2025-05,64
