Categoría: Todas las categorías

Mes,healthcare: (Colorado)
2015-01,45
2015-02,45
2015-03,46
2015-04,45
2015-05,40
2015-06,49
2015-07,48
2015-08,46
2015-09,46
2015-10,51
2015-11,50
2015-12,46
2016-01,43
2016-02,43
2016-03,42
2016-04,41
2016-05,39
2016-06,41
2016-07,39
2016-08,45
2016-09,40
2016-10,46
2016-11,46
2016-12,44
2017-01,47
2017-02,49
2017-03,58
2017-04,44
2017-05,52
2017-06,49
2017-07,52
2017-08,45
2017-09,41
2017-10,45
2017-11,45
2017-12,39
2018-01,45
2018-02,44
2018-03,41
2018-04,40
2018-05,39
2018-06,37
2018-07,41
2018-08,41
2018-09,35
2018-10,37
2018-11,39
2018-12,35
2019-01,41
2019-02,42
2019-03,38
2019-04,41
2019-05,36
2019-06,35
2019-07,39
2019-08,37
2019-09,35
2019-10,42
2019-11,36
2019-12,36
2020-01,37
2020-02,41
2020-03,45
2020-04,55
2020-05,35
2020-06,39
2020-07,35
2020-08,33
2020-09,35
2020-10,38
2020-11,37
2020-12,37
2021-01,44
2021-02,40
2021-03,39
2021-04,42
2021-05,37
2021-06,39
2021-07,35
2021-08,38
2021-09,39
2021-10,41
2021-11,40
2021-12,39
2022-01,49
2022-02,46
2022-03,47
2022-04,44
2022-05,46
2022-06,42
2022-07,46
2022-08,43
2022-09,41
2022-10,42
2022-11,40
2022-12,39
2023-01,41
2023-02,45
2023-03,44
2023-04,42
2023-05,43
2023-06,44
2023-07,44
2023-08,48
2023-09,45
2023-10,44
2023-11,49
2023-12,44
2024-01,56
2024-02,56
2024-03,52
2024-04,51
2024-05,50
2024-06,44
2024-07,45
2024-08,46
2024-09,46
2024-10,50
2024-11,51
2024-12,100
2025-01,58
2025-02,58
2025-03,55
2025-04,52
2025-05,57
