Categoría: Todas las categorías

Mes,healthcare: (Misuri)
2015-01,60
2015-02,66
2015-03,57
2015-04,60
2015-05,51
2015-06,58
2015-07,57
2015-08,62
2015-09,60
2015-10,53
2015-11,56
2015-12,54
2016-01,50
2016-02,54
2016-03,51
2016-04,50
2016-05,46
2016-06,49
2016-07,49
2016-08,51
2016-09,46
2016-10,53
2016-11,54
2016-12,49
2017-01,52
2017-02,51
2017-03,60
2017-04,47
2017-05,59
2017-06,53
2017-07,53
2017-08,50
2017-09,51
2017-10,55
2017-11,55
2017-12,51
2018-01,49
2018-02,51
2018-03,54
2018-04,52
2018-05,47
2018-06,51
2018-07,51
2018-08,52
2018-09,48
2018-10,49
2018-11,49
2018-12,49
2019-01,53
2019-02,49
2019-03,47
2019-04,51
2019-05,46
2019-06,51
2019-07,44
2019-08,45
2019-09,48
2019-10,50
2019-11,43
2019-12,45
2020-01,49
2020-02,50
2020-03,60
2020-04,74
2020-05,52
2020-06,48
2020-07,44
2020-08,46
2020-09,46
2020-10,52
2020-11,48
2020-12,46
2021-01,52
2021-02,53
2021-03,51
2021-04,52
2021-05,48
2021-06,50
2021-07,48
2021-08,51
2021-09,56
2021-10,51
2021-11,51
2021-12,54
2022-01,62
2022-02,59
2022-03,59
2022-04,57
2022-05,52
2022-06,51
2022-07,50
2022-08,54
2022-09,51
2022-10,54
2022-11,51
2022-12,47
2023-01,58
2023-02,57
2023-03,56
2023-04,51
2023-05,57
2023-06,56
2023-07,61
2023-08,59
2023-09,57
2023-10,60
2023-11,60
2023-12,54
2024-01,66
2024-02,69
2024-03,63
2024-04,59
2024-05,54
2024-06,55
2024-07,54
2024-08,62
2024-09,57
2024-10,58
2024-11,60
2024-12,100
2025-01,63
2025-02,63
2025-03,62
2025-04,63
2025-05,63
