Categoría: Todas las categorías

Mes,healthcare: (Wisconsin)
2015-01,58
2015-02,62
2015-03,60
2015-04,58
2015-05,49
2015-06,54
2015-07,57
2015-08,59
2015-09,54
2015-10,53
2015-11,60
2015-12,70
2016-01,52
2016-02,53
2016-03,52
2016-04,51
2016-05,51
2016-06,49
2016-07,47
2016-08,53
2016-09,52
2016-10,49
2016-11,50
2016-12,51
2017-01,62
2017-02,56
2017-03,57
2017-04,43
2017-05,59
2017-06,58
2017-07,54
2017-08,48
2017-09,48
2017-10,50
2017-11,50
2017-12,46
2018-01,47
2018-02,46
2018-03,44
2018-04,45
2018-05,42
2018-06,46
2018-07,39
2018-08,40
2018-09,40
2018-10,43
2018-11,41
2018-12,39
2019-01,44
2019-02,45
2019-03,42
2019-04,42
2019-05,41
2019-06,38
2019-07,38
2019-08,41
2019-09,43
2019-10,41
2019-11,41
2019-12,36
2020-01,42
2020-02,45
2020-03,54
2020-04,75
2020-05,55
2020-06,42
2020-07,38
2020-08,33
2020-09,37
2020-10,45
2020-11,42
2020-12,42
2021-01,44
2021-02,44
2021-03,42
2021-04,42
2021-05,41
2021-06,39
2021-07,39
2021-08,42
2021-09,42
2021-10,46
2021-11,43
2021-12,43
2022-01,53
2022-02,48
2022-03,49
2022-04,46
2022-05,46
2022-06,41
2022-07,42
2022-08,45
2022-09,42
2022-10,41
2022-11,41
2022-12,39
2023-01,45
2023-02,48
2023-03,45
2023-04,43
2023-05,48
2023-06,44
2023-07,43
2023-08,47
2023-09,45
2023-10,51
2023-11,49
2023-12,45
2024-01,50
2024-02,57
2024-03,53
2024-04,52
2024-05,47
2024-06,44
2024-07,43
2024-08,48
2024-09,47
2024-10,51
2024-11,46
2024-12,100
2025-01,53
2025-02,55
2025-03,53
2025-04,52
2025-05,54
