Categoría: Todas las categorías

Mes,healthcare: (Míchigan)
2015-01,52
2015-02,54
2015-03,56
2015-04,50
2015-05,47
2015-06,48
2015-07,48
2015-08,48
2015-09,48
2015-10,47
2015-11,47
2015-12,44
2016-01,50
2016-02,45
2016-03,43
2016-04,41
2016-05,47
2016-06,37
2016-07,39
2016-08,39
2016-09,40
2016-10,44
2016-11,45
2016-12,38
2017-01,49
2017-02,45
2017-03,64
2017-04,45
2017-05,59
2017-06,44
2017-07,49
2017-08,42
2017-09,46
2017-10,48
2017-11,48
2017-12,42
2018-01,47
2018-02,45
2018-03,43
2018-04,44
2018-05,39
2018-06,40
2018-07,39
2018-08,42
2018-09,41
2018-10,44
2018-11,44
2018-12,35
2019-01,45
2019-02,43
2019-03,42
2019-04,44
2019-05,41
2019-06,43
2019-07,38
2019-08,41
2019-09,45
2019-10,44
2019-11,42
2019-12,39
2020-01,46
2020-02,47
2020-03,63
2020-04,86
2020-05,59
2020-06,42
2020-07,43
2020-08,38
2020-09,46
2020-10,49
2020-11,46
2020-12,45
2021-01,46
2021-02,45
2021-03,44
2021-04,43
2021-05,42
2021-06,43
2021-07,42
2021-08,40
2021-09,50
2021-10,52
2021-11,51
2021-12,49
2022-01,55
2022-02,51
2022-03,61
2022-04,54
2022-05,50
2022-06,48
2022-07,46
2022-08,52
2022-09,46
2022-10,53
2022-11,50
2022-12,47
2023-01,56
2023-02,55
2023-03,56
2023-04,52
2023-05,55
2023-06,49
2023-07,46
2023-08,48
2023-09,53
2023-10,60
2023-11,58
2023-12,49
2024-01,59
2024-02,60
2024-03,60
2024-04,58
2024-05,48
2024-06,47
2024-07,44
2024-08,49
2024-09,58
2024-10,57
2024-11,55
2024-12,100
2025-01,63
2025-02,59
2025-03,61
2025-04,60
2025-05,58
