Category: All categories

Month,healthcare: (Puerto Rico)
2015-01,64
2015-02,50
2015-03,85
2015-04,96
2015-05,72
2015-06,73
2015-07,72
2015-08,70
2015-09,65
2015-10,67
2015-11,62
2015-12,58
2016-01,60
2016-02,59
2016-03,58
2016-04,62
2016-05,51
2016-06,62
2016-07,55
2016-08,62
2016-09,62
2016-10,63
2016-11,51
2016-12,53
2017-01,67
2017-02,57
2017-03,75
2017-04,55
2017-05,68
2017-06,68
2017-07,59
2017-08,67
2017-09,44
2017-10,63
2017-11,49
2017-12,63
2018-01,56
2018-02,63
2018-03,57
2018-04,67
2018-05,61
2018-06,67
2018-07,52
2018-08,58
2018-09,60
2018-10,74
2018-11,100
2018-12,63
2019-01,80
2019-02,68
2019-03,57
2019-04,65
2019-05,57
2019-06,56
2019-07,52
2019-08,55
2019-09,59
2019-10,60
2019-11,53
2019-12,43
2020-01,50
2020-02,66
2020-03,52
2020-04,42
2020-05,44
2020-06,48
2020-07,50
2020-08,45
2020-09,48
2020-10,45
2020-11,38
2020-12,34
2021-01,33
2021-02,39
2021-03,43
2021-04,41
2021-05,41
2021-06,44
2021-07,45
2021-08,40
2021-09,37
2021-10,39
2021-11,37
2021-12,38
2022-01,48
2022-02,50
2022-03,46
2022-04,46
2022-05,40
2022-06,47
2022-07,41
2022-08,41
2022-09,36
2022-10,40
2022-11,37
2022-12,38
2023-01,45
2023-02,45
2023-03,41
2023-04,33
2023-05,42
2023-06,42
2023-07,41
2023-08,48
2023-09,47
2023-10,53
2023-11,47
2023-12,41
2024-01,45
2024-02,54
2024-03,49
2024-04,41
2024-05,42
2024-06,37
2024-07,42
2024-08,40
2024-09,45
2024-10,44
2024-11,41
2024-12,80
2025-01,44
2025-02,44
2025-03,41
2025-04,37
2025-05,38
