Categoría: Todas las categorías

Mes,healthcare: (Nueva Jersey)
2015-01,51
2015-02,48
2015-03,43
2015-04,44
2015-05,40
2015-06,39
2015-07,44
2015-08,42
2015-09,42
2015-10,45
2015-11,44
2015-12,42
2016-01,41
2016-02,45
2016-03,40
2016-04,40
2016-05,35
2016-06,35
2016-07,34
2016-08,36
2016-09,37
2016-10,40
2016-11,40
2016-12,35
2017-01,46
2017-02,41
2017-03,58
2017-04,39
2017-05,51
2017-06,43
2017-07,47
2017-08,39
2017-09,42
2017-10,41
2017-11,46
2017-12,37
2018-01,45
2018-02,43
2018-03,38
2018-04,41
2018-05,37
2018-06,35
2018-07,36
2018-08,38
2018-09,37
2018-10,41
2018-11,38
2018-12,32
2019-01,42
2019-02,40
2019-03,38
2019-04,39
2019-05,34
2019-06,33
2019-07,33
2019-08,33
2019-09,34
2019-10,38
2019-11,36
2019-12,30
2020-01,39
2020-02,41
2020-03,48
2020-04,57
2020-05,48
2020-06,39
2020-07,35
2020-08,33
2020-09,36
2020-10,39
2020-11,37
2020-12,39
2021-01,45
2021-02,40
2021-03,46
2021-04,39
2021-05,34
2021-06,36
2021-07,32
2021-08,36
2021-09,36
2021-10,39
2021-11,37
2021-12,38
2022-01,52
2022-02,50
2022-03,50
2022-04,45
2022-05,44
2022-06,41
2022-07,44
2022-08,46
2022-09,43
2022-10,43
2022-11,47
2022-12,39
2023-01,47
2023-02,49
2023-03,46
2023-04,44
2023-05,45
2023-06,44
2023-07,45
2023-08,48
2023-09,51
2023-10,48
2023-11,49
2023-12,46
2024-01,55
2024-02,59
2024-03,55
2024-04,52
2024-05,46
2024-06,41
2024-07,44
2024-08,48
2024-09,48
2024-10,48
2024-11,48
2024-12,100
2025-01,55
2025-02,55
2025-03,53
2025-04,51
2025-05,51
