Categoría: Todas las categorías

Mes,healthcare: (Utah)
2015-01,74
2015-02,78
2015-03,78
2015-04,74
2015-05,67
2015-06,73
2015-07,73
2015-08,76
2015-09,72
2015-10,76
2015-11,83
2015-12,78
2016-01,87
2016-02,70
2016-03,74
2016-04,73
2016-05,67
2016-06,69
2016-07,61
2016-08,75
2016-09,70
2016-10,69
2016-11,68
2016-12,68
2017-01,86
2017-02,76
2017-03,81
2017-04,63
2017-05,78
2017-06,78
2017-07,77
2017-08,75
2017-09,69
2017-10,74
2017-11,75
2017-12,68
2018-01,73
2018-02,74
2018-03,70
2018-04,67
2018-05,68
2018-06,69
2018-07,64
2018-08,71
2018-09,66
2018-10,69
2018-11,67
2018-12,60
2019-01,75
2019-02,73
2019-03,73
2019-04,68
2019-05,68
2019-06,69
2019-07,71
2019-08,72
2019-09,66
2019-10,70
2019-11,67
2019-12,65
2020-01,71
2020-02,72
2020-03,82
2020-04,75
2020-05,68
2020-06,72
2020-07,67
2020-08,64
2020-09,71
2020-10,80
2020-11,76
2020-12,76
2021-01,72
2021-02,73
2021-03,79
2021-04,71
2021-05,66
2021-06,68
2021-07,74
2021-08,74
2021-09,82
2021-10,73
2021-11,82
2021-12,71
2022-01,86
2022-02,78
2022-03,73
2022-04,61
2022-05,67
2022-06,77
2022-07,66
2022-08,73
2022-09,69
2022-10,66
2022-11,68
2022-12,66
2023-01,72
2023-02,71
2023-03,71
2023-04,70
2023-05,70
2023-06,68
2023-07,69
2023-08,74
2023-09,73
2023-10,74
2023-11,70
2023-12,70
2024-01,75
2024-02,77
2024-03,72
2024-04,79
2024-05,73
2024-06,71
2024-07,74
2024-08,70
2024-09,69
2024-10,69
2024-11,72
2024-12,100
2025-01,75
2025-02,84
2025-03,73
2025-04,75
2025-05,70
