Categoría: Todas las categorías

Mes,healthcare: (Maryland)
2015-01,49
2015-02,54
2015-03,52
2015-04,51
2015-05,45
2015-06,52
2015-07,50
2015-08,53
2015-09,51
2015-10,55
2015-11,54
2015-12,49
2016-01,43
2016-02,49
2016-03,41
2016-04,45
2016-05,41
2016-06,40
2016-07,43
2016-08,44
2016-09,44
2016-10,45
2016-11,52
2016-12,46
2017-01,48
2017-02,48
2017-03,61
2017-04,45
2017-05,53
2017-06,50
2017-07,50
2017-08,42
2017-09,50
2017-10,50
2017-11,46
2017-12,43
2018-01,42
2018-02,41
2018-03,41
2018-04,41
2018-05,38
2018-06,42
2018-07,42
2018-08,43
2018-09,39
2018-10,45
2018-11,40
2018-12,36
2019-01,48
2019-02,41
2019-03,40
2019-04,44
2019-05,41
2019-06,44
2019-07,40
2019-08,40
2019-09,44
2019-10,43
2019-11,42
2019-12,36
2020-01,43
2020-02,44
2020-03,53
2020-04,66
2020-05,54
2020-06,41
2020-07,38
2020-08,38
2020-09,39
2020-10,42
2020-11,39
2020-12,41
2021-01,43
2021-02,45
2021-03,47
2021-04,44
2021-05,42
2021-06,44
2021-07,40
2021-08,45
2021-09,48
2021-10,45
2021-11,45
2021-12,54
2022-01,57
2022-02,57
2022-03,58
2022-04,53
2022-05,51
2022-06,51
2022-07,48
2022-08,51
2022-09,46
2022-10,53
2022-11,49
2022-12,43
2023-01,51
2023-02,51
2023-03,56
2023-04,55
2023-05,49
2023-06,53
2023-07,47
2023-08,48
2023-09,46
2023-10,54
2023-11,54
2023-12,47
2024-01,56
2024-02,63
2024-03,61
2024-04,53
2024-05,51
2024-06,45
2024-07,44
2024-08,49
2024-09,50
2024-10,56
2024-11,51
2024-12,100
2025-01,59
2025-02,59
2025-03,65
2025-04,56
2025-05,58
