Categoría: Todas las categorías

Mes,healthcare: (Luisiana)
2015-01,54
2015-02,59
2015-03,53
2015-04,54
2015-05,48
2015-06,59
2015-07,57
2015-08,53
2015-09,59
2015-10,57
2015-11,57
2015-12,53
2016-01,55
2016-02,48
2016-03,48
2016-04,49
2016-05,45
2016-06,52
2016-07,50
2016-08,52
2016-09,51
2016-10,53
2016-11,52
2016-12,47
2017-01,57
2017-02,51
2017-03,60
2017-04,48
2017-05,60
2017-06,57
2017-07,61
2017-08,54
2017-09,57
2017-10,57
2017-11,58
2017-12,46
2018-01,57
2018-02,55
2018-03,55
2018-04,56
2018-05,53
2018-06,57
2018-07,54
2018-08,57
2018-09,52
2018-10,55
2018-11,50
2018-12,45
2019-01,57
2019-02,52
2019-03,53
2019-04,59
2019-05,53
2019-06,53
2019-07,53
2019-08,56
2019-09,53
2019-10,55
2019-11,49
2019-12,45
2020-01,52
2020-02,51
2020-03,60
2020-04,65
2020-05,63
2020-06,58
2020-07,52
2020-08,49
2020-09,54
2020-10,53
2020-11,55
2020-12,52
2021-01,55
2021-02,54
2021-03,57
2021-04,55
2021-05,54
2021-06,55
2021-07,57
2021-08,64
2021-09,58
2021-10,59
2021-11,59
2021-12,58
2022-01,66
2022-02,65
2022-03,64
2022-04,57
2022-05,63
2022-06,64
2022-07,61
2022-08,77
2022-09,69
2022-10,63
2022-11,64
2022-12,60
2023-01,68
2023-02,75
2023-03,65
2023-04,61
2023-05,64
2023-06,64
2023-07,70
2023-08,77
2023-09,64
2023-10,76
2023-11,76
2023-12,63
2024-01,74
2024-02,69
2024-03,69
2024-04,68
2024-05,75
2024-06,63
2024-07,69
2024-08,70
2024-09,64
2024-10,68
2024-11,61
2024-12,100
2025-01,70
2025-02,70
2025-03,65
2025-04,69
2025-05,69
