Categoría: Todas las categorías

Mes,healthcare: (Wyoming)
2015-01,47
2015-02,49
2015-03,55
2015-04,42
2015-05,39
2015-06,44
2015-07,38
2015-08,54
2015-09,39
2015-10,45
2015-11,44
2015-12,44
2016-01,44
2016-02,45
2016-03,44
2016-04,43
2016-05,44
2016-06,42
2016-07,37
2016-08,41
2016-09,46
2016-10,50
2016-11,40
2016-12,40
2017-01,48
2017-02,40
2017-03,60
2017-04,51
2017-05,67
2017-06,57
2017-07,57
2017-08,57
2017-09,54
2017-10,59
2017-11,51
2017-12,42
2018-01,47
2018-02,43
2018-03,42
2018-04,42
2018-05,42
2018-06,41
2018-07,47
2018-08,45
2018-09,39
2018-10,51
2018-11,43
2018-12,48
2019-01,40
2019-02,42
2019-03,51
2019-04,47
2019-05,43
2019-06,46
2019-07,37
2019-08,34
2019-09,41
2019-10,46
2019-11,42
2019-12,42
2020-01,46
2020-02,51
2020-03,57
2020-04,59
2020-05,50
2020-06,49
2020-07,45
2020-08,42
2020-09,45
2020-10,52
2020-11,49
2020-12,52
2021-01,46
2021-02,47
2021-03,53
2021-04,57
2021-05,41
2021-06,49
2021-07,50
2021-08,47
2021-09,57
2021-10,52
2021-11,58
2021-12,58
2022-01,57
2022-02,57
2022-03,59
2022-04,54
2022-05,49
2022-06,48
2022-07,49
2022-08,55
2022-09,53
2022-10,57
2022-11,57
2022-12,53
2023-01,55
2023-02,59
2023-03,54
2023-04,59
2023-05,46
2023-06,52
2023-07,45
2023-08,53
2023-09,54
2023-10,55
2023-11,66
2023-12,58
2024-01,73
2024-02,72
2024-03,72
2024-04,78
2024-05,61
2024-06,45
2024-07,50
2024-08,58
2024-09,59
2024-10,65
2024-11,62
2024-12,100
2025-01,61
2025-02,62
2025-03,67
2025-04,65
2025-05,62
