Categoría: Todas las categorías

Mes,healthcare: (Kansas)
2015-01,43
2015-02,44
2015-03,43
2015-04,43
2015-05,37
2015-06,45
2015-07,43
2015-08,50
2015-09,50
2015-10,41
2015-11,33
2015-12,17
2016-01,41
2016-02,45
2016-03,38
2016-04,41
2016-05,39
2016-06,42
2016-07,43
2016-08,43
2016-09,44
2016-10,42
2016-11,45
2016-12,45
2017-01,51
2017-02,47
2017-03,61
2017-04,50
2017-05,60
2017-06,50
2017-07,58
2017-08,39
2017-09,42
2017-10,47
2017-11,50
2017-12,48
2018-01,48
2018-02,47
2018-03,46
2018-04,48
2018-05,44
2018-06,44
2018-07,48
2018-08,50
2018-09,43
2018-10,50
2018-11,47
2018-12,40
2019-01,50
2019-02,50
2019-03,47
2019-04,46
2019-05,45
2019-06,46
2019-07,45
2019-08,43
2019-09,44
2019-10,49
2019-11,46
2019-12,41
2020-01,43
2020-02,47
2020-03,54
2020-04,65
2020-05,51
2020-06,42
2020-07,42
2020-08,43
2020-09,47
2020-10,47
2020-11,47
2020-12,46
2021-01,47
2021-02,50
2021-03,46
2021-04,49
2021-05,46
2021-06,49
2021-07,47
2021-08,50
2021-09,50
2021-10,50
2021-11,49
2021-12,51
2022-01,58
2022-02,57
2022-03,53
2022-04,54
2022-05,49
2022-06,50
2022-07,48
2022-08,52
2022-09,54
2022-10,53
2022-11,47
2022-12,47
2023-01,54
2023-02,57
2023-03,54
2023-04,56
2023-05,54
2023-06,54
2023-07,56
2023-08,58
2023-09,59
2023-10,61
2023-11,59
2023-12,54
2024-01,62
2024-02,65
2024-03,65
2024-04,61
2024-05,58
2024-06,52
2024-07,51
2024-08,54
2024-09,59
2024-10,63
2024-11,62
2024-12,100
2025-01,62
2025-02,65
2025-03,65
2025-04,69
2025-05,64
