query,issue,type,rank_per_issue_type,first_appearance,state,url
healthcare,healthcare,issue_label,1,2017-01,AK,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-AK&q=healthcare&hl=en
healthcare,healthcare,issue_label,1,2017-01,AL,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-AL&q=healthcare&hl=en
healthcare,healthcare,issue_label,1,2017-01,AR,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-AR&q=healthcare&hl=en
healthcare,healthcare,issue_label,1,2017-01,AZ,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-AZ&q=healthcare&hl=en
healthcare,healthcare,issue_label,1,2017-01,CA,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-CA&q=healthcare&hl=en
healthcare,healthcare,issue_label,1,2017-01,CO,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-CO&q=healthcare&hl=en
healthcare,healthcare,issue_label,1,2017-01,CT,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-CT&q=healthcare&hl=en
healthcare,healthcare,issue_label,1,2017-01,DE,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-DE&q=healthcare&hl=en
healthcare,healthcare,issue_label,1,2017-01,FL,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-FL&q=healthcare&hl=en
healthcare,healthcare,issue_label,1,2017-01,GA,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-GA&q=healthcare&hl=en
healthcare,healthcare,issue_label,1,2017-01,HI,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-HI&q=healthcare&hl=en
healthcare,healthcare,issue_label,1,2017-01,IA,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-IA&q=healthcare&hl=en
healthcare,healthcare,issue_label,1,2017-01,ID,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-ID&q=healthcare&hl=en
healthcare,healthcare,issue_label,1,2017-01,IL,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-IL&q=healthcare&hl=en
healthcare,healthcare,issue_label,1,2017-01,IN,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-IN&q=healthcare&hl=en
healthcare,healthcare,issue_label,1,2017-01,KS,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-KS&q=healthcare&hl=en
healthcare,healthcare,issue_label,1,2017-01,KY,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-KY&q=healthcare&hl=en
healthcare,healthcare,issue_label,1,2017-01,LA,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-LA&q=healthcare&hl=en
healthcare,healthcare,issue_label,1,2017-01,MA,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-MA&q=healthcare&hl=en
healthcare,healthcare,issue_label,1,2017-01,MD,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-MD&q=healthcare&hl=en
healthcare,healthcare,issue_label,1,2017-01,ME,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-ME&q=healthcare&hl=en
healthcare,healthcare,issue_label,1,2017-01,MI,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-MI&q=healthcare&hl=en
healthcare,healthcare,issue_label,1,2017-01,MN,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-MN&q=healthcare&hl=en
healthcare,healthcare,issue_label,1,2017-01,MO,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-MO&q=healthcare&hl=en
healthcare,healthcare,issue_label,1,2017-01,MS,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-MS&q=healthcare&hl=en
healthcare,healthcare,issue_label,1,2017-01,MT,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-MT&q=healthcare&hl=en
healthcare,healthcare,issue_label,1,2017-01,NC,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-NC&q=healthcare&hl=en
healthcare,healthcare,issue_label,1,2017-01,ND,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-ND&q=healthcare&hl=en
healthcare,healthcare,issue_label,1,2017-01,NE,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-NE&q=healthcare&hl=en
healthcare,healthcare,issue_label,1,2017-01,NH,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-NH&q=healthcare&hl=en
healthcare,healthcare,issue_label,1,2017-01,NJ,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-NJ&q=healthcare&hl=en
healthcare,healthcare,issue_label,1,2017-01,NM,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-NM&q=healthcare&hl=en
healthcare,healthcare,issue_label,1,2017-01,NV,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-NV&q=healthcare&hl=en
healthcare,healthcare,issue_label,1,2017-01,NY,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-NY&q=healthcare&hl=en
healthcare,healthcare,issue_label,1,2017-01,OH,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-OH&q=healthcare&hl=en
healthcare,healthcare,issue_label,1,2017-01,OK,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-OK&q=healthcare&hl=en
healthcare,healthcare,issue_label,1,2017-01,OR,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-OR&q=healthcare&hl=en
healthcare,healthcare,issue_label,1,2017-01,PA,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-PA&q=healthcare&hl=en
healthcare,healthcare,issue_label,1,2017-01,RI,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-RI&q=healthcare&hl=en
healthcare,healthcare,issue_label,1,2017-01,SC,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-SC&q=healthcare&hl=en
healthcare,healthcare,issue_label,1,2017-01,SD,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-SD&q=healthcare&hl=en
